"Game","Type","File","Action","Notes"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t58380.00-t59220.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t59280.00-t60060.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t63780.00-t64380.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t71700.00-t72540.00.mp4","QUARANTINE","Unparseable name or wrong tag"
