time,in_play,reset,audio_rms,hf_ratio,flow
0.0,False,False,0.03631502,1.0,0.0
0.1,False,False,0.15199059,1.0,0.10566717463743627
0.2,False,False,0.29211426,0.70477974,0.13512441561841354
0.3,False,False,0.28157258,0.0,0.05687485620373575
0.4,False,False,0.29539183,0.06935815,0.10246428907887015
0.5,False,False,0.25554472,0.011071255,0.07278834988787129
0.6,False,False,0.17105076,0.0903576,0.09456701740157905
0.7,False,False,0.21862666,0.012568357,0.11481519269784249
0.8,False,False,0.18869394,0.17215306,0.1421885583210784
0.9,False,False,0.20940925,0.071912654,0.24937735101839925
1.0,False,False,0.228452,0.15549,0.2198553564946045
1.1,False,False,0.17435613,0.19549318,0.5010046724535854
1.2,False,False,0.15820469,0.14652456,0.7383216272922006
1.3,False,False,0.14496619,0.11451136,0.9607972003499495
1.4,False,False,0.15151721,0.080260046,1.3793661915070174
1.5,False,False,0.18253244,0.121888585,1.9237934624996857
1.6,False,False,0.23816831,0.15112942,2.4721441770449126
1.7,False,False,0.28296885,0.085509844,2.9854394693977397
1.8,True,False,0.31956178,0.05867003,3.041424653090352
1.9,True,False,0.3366895,0.06203302,2.8800329393674615
2.0,True,False,0.340745,0.02997593,2.755877582377966
2.1,True,False,0.3002723,0.087067604,2.8143109858610726
2.2,True,False,0.22795191,0.062485542,2.838150021383127
2.3,True,False,0.18148689,0.073496744,2.886843922471925
2.4,True,False,0.15453354,0.5204848,2.9602846871692186
2.5,True,False,0.16979465,0.13894995,3.1293224597881504
2.6,True,False,0.21048208,0.04161869,3.0865757134488425
2.7,True,False,0.216917,0.6040497,3.4094085812096804
2.8,True,False,0.19260296,0.18572263,4.03689349323744
2.9,True,False,0.24690516,0.064459495,4.408128626019985
3.0,True,False,0.31549752,0.08065652,3.9858636831825076
3.1,True,False,0.32379857,0.06109163,3.973773426364804
3.2,True,False,0.3191717,0.01948748,3.485882054832619
3.3,True,False,0.27816126,0.13924834,3.0831765751427116
3.4,True,False,0.16708295,0.03848511,2.6575913545925802
3.5,False,False,0.15495011,0.11521386,2.4118357701771114
3.6,False,False,0.17384073,0.07717932,2.2444862716200173
3.7,False,False,0.16544305,0.010012283,2.1055506850856944
3.8,False,False,0.17748909,0.019566817,1.8091073021444681
3.9,False,False,0.16797268,0.0412695,1.8207803223318872
4.0,False,False,0.29362983,0.020838901,1.2939410296261076
4.1,False,False,0.2995029,0.016069861,1.1602073775768607
4.2,False,False,0.7125878,0.00028860624,0.7465733499030817
4.3,False,False,0.77536905,0.5981115,0.565888119625469
4.4,False,False,0.864727,0.0,0.623882007196151
4.5,False,False,1.0,0.0,0.8637576779920457
4.6,False,False,0.9434755,0.21505119,0.6804155000283066
4.7,False,False,0.9983917,0.06285451,0.6593231019272008
4.8,False,False,0.91166025,0.0076355585,0.4427553922791035
4.9,False,False,0.7120624,1.0,0.16217702232754183
5.0,False,False,0.65144795,0.0,0.4016838727936365
5.1,False,False,0.5918136,0.0,0.36912923470451947
5.2,False,False,0.55482286,0.0,0.17921463714937907
5.3,False,False,0.46414182,0.026173126,0.39130694717107417
5.4,False,False,0.3550132,0.016575469,0.24863796257557236
5.5,False,False,0.21504767,0.0068301386,0.45635539887561455
5.6,False,False,0.12912188,0.19197316,0.4569871426205186
5.7,False,False,0.085978664,0.30320272,0.353352418497074
5.8,False,False,0.06458544,0.03941316,0.34323484939994764
5.9,False,False,0.06839656,0.07050271,0.3188808951276484
6.0,False,False,0.04917143,0.07368638,0.35503234809860273
6.1,False,False,0.029856205,0.30962428,0.3054832466278167
6.2,False,False,0.046085488,0.031196168,0.3616439515155392
6.3,False,False,0.07242687,0.104091465,0.2629098724370246
6.4,False,False,0.09902612,0.08552038,0.294494289555157
6.5,False,False,0.12537675,0.0,0.24808171664951087
6.6,False,False,0.13992175,0.035425037,0.26817487940182083
6.7,False,False,0.15521908,0.048138767,0.43064600935647995
6.8,False,False,0.18537077,0.015519727,0.3925775979832904
6.9,False,False,0.21515542,0.016153166,0.2983996988770576
7.0,False,False,0.23451714,0.08931897,0.24983363442009393
7.1,False,False,0.21887776,0.017821748,0.459923246636874
7.2,False,False,0.18441428,0.0,0.6946488754891516
7.3,False,False,0.16026437,0.026856696,0.7993882469107016
7.4,False,False,0.13954084,0.0,0.9966960444853336
7.5,False,False,0.15622306,0.010120938,1.416855754041722
7.6,False,False,0.1751732,0.04249597,1.6502569417971893
7.7,False,False,0.19821107,0.0530325,1.838466865921513
7.8,False,False,0.24594992,0.015585776,1.8508588131149502
7.9,False,False,0.22839354,0.014940217,2.216265784585683
8.0,False,False,0.22705218,0.00794916,2.3286369467173835
8.1,False,False,0.2101254,0.0,1.9169505647258296
8.2,False,False,0.1395486,0.0,1.6713192861700539
8.3,False,False,0.17186312,0.12622494,1.572687142010036
8.4,False,False,0.23731482,0.074844725,2.1120746074600727
8.5,False,False,0.29640543,0.4273817,1.7079662012235832
8.6,False,False,0.29252577,0.04148488,1.9186630592928031
8.7,False,False,0.31218287,0.08096683,1.0414796527279162
8.8,False,False,0.31888205,0.03403704,1.0146384433625808
8.9,False,False,0.30535752,0.040796947,1.129852742877037
9.0,False,False,0.33762756,0.04005736,1.0728682536400733
9.1,False,False,0.31757456,0.17878559,1.0615349895986246
9.2,False,False,0.29541847,0.059989035,1.7705834644647918
9.3,False,False,0.33458117,0.0,1.9378814041710017
9.4,False,False,0.46427652,0.0052216095,1.95204342523139
9.5,True,False,0.53543866,0.0,2.0237510532523157
9.6,True,False,0.538847,0.0,3.062275504603565
9.7,True,False,0.47638428,0.13295427,2.341811871288256
9.8,True,False,0.39346817,0.06265319,2.3863824472121533
9.9,True,False,0.2958711,0.08480083,2.619322597518197
10.0,True,False,0.2638447,0.5632504,2.971955803145808
10.1,True,False,0.32175207,0.21571378,3.2074416802019234
10.2,True,False,0.2753793,0.28925085,3.0920228686582583
10.3,True,False,0.34122735,0.016046297,2.7619981819022486
10.4,True,False,0.40641448,0.1776006,2.676309733950899
10.5,True,False,0.35768613,0.03359073,2.8383925470073366
10.6,False,False,0.34346083,0.09811534,2.341568561596101
10.7,False,False,0.25138348,0.0022477864,2.1078666493984706
10.8,False,False,0.12054975,0.11639048,2.215509367895718
10.9,False,False,0.08307392,0.021401962,2.2232081356979387
11.0,False,False,0.024303233,0.09648498,1.359955209437686
11.1,False,False,0.021253992,0.15230626,1.3036026484449867
11.2,False,False,0.052218802,0.09169852,1.3815655035174252
11.3,False,False,0.05272725,0.12047367,1.269092497622147
11.4,False,False,0.07327615,0.0046245684,1.253711056141569
11.5,False,False,0.08988065,0.08535175,1.1754240909719402
11.6,False,False,0.119998105,0.07541449,1.2283407888451212
11.7,False,False,0.12903166,0.308752,1.1931453099073104
11.8,False,False,0.1384436,0.08078645,1.3234308978615914
11.9,False,False,0.121428475,0.0757149,1.1890344603984793
12.0,False,False,0.07470613,0.14954227,1.6156902287916735
12.1,False,False,0.09340875,0.08160741,1.77758010407468
12.2,False,False,0.11364827,0.026950715,1.9428726616824143
12.3,False,False,0.15700786,0.0002832,1.8625750243504962
12.4,False,False,0.15829551,0.015219844,1.9159521300850386
12.5,False,False,0.15213138,0.02466638,2.467155262588566
12.6,False,False,0.14728722,0.021498756,2.435574561953296
12.7,False,False,0.13353574,0.053418167,2.7598002754147766
12.8,False,False,0.13808669,0.40742797,2.8042099422736766
12.9,False,False,0.13242774,0.017578024,2.960841841195631
13.0,False,False,0.1198856,0.014358715,2.7576313244785777
13.1,False,False,0.12559044,0.012222427,2.744453411576856
13.2,False,False,0.14307383,0.012530997,2.474823463367649
13.3,False,False,0.16941537,0.03972882,2.3498647273784408
13.4,False,False,0.2013203,0.08182247,2.346965053178383
13.5,False,False,0.25769138,0.09918853,2.6285275529941243
13.6,False,False,0.24869855,0.09715599,1.821092967574806
13.7,False,False,0.21341889,0.04647941,1.3407117617715962
13.8,False,False,0.17115317,0.0294456,1.147530070681768
13.9,False,False,0.10571084,0.1812164,1.001240322799562
14.0,False,False,0.10661518,0.00643508,1.1176186074298091
14.1,False,False,0.11617107,0.0021885394,1.1773699447847243
14.2,False,False,0.1490375,0.6075793,1.3711718955727257
14.3,False,False,0.11648573,0.0017785865,1.717176141936523
14.4,False,False,0.16055764,0.026215823,1.6775676416121121
14.5,False,False,0.20160566,0.011566925,2.5488691002591093
14.6,False,False,0.26114425,0.0,1.6563847653110673
14.7,False,False,0.29474995,0.013080615,1.3804075880232705
14.8,False,False,0.26783037,0.0,1.0306701253324693
14.9,False,False,0.23692715,0.019522266,0.6356345036793789
15.0,False,False,0.14273947,0.007064449,0.8116859759127952
15.1,False,False,0.11302803,0.0,1.0778594925154361
15.2,False,False,0.08736019,0.07382385,1.398859737433191
15.3,False,False,0.1428854,0.051559642,2.361823350737816
15.4,False,False,0.16063856,0.041560523,2.7088725675379477
15.5,True,False,0.15873349,0.058515545,3.525879972092424
15.6,True,False,0.1834605,0.12486774,4.3540629262967006
15.7,True,False,0.11815454,0.021686783,4.69187325112959
15.8,True,False,0.10911508,0.062429614,4.368191168183692
15.9,True,False,0.1178035,0.16857173,3.7947324781946308
16.0,True,False,0.12420116,0.056912325,4.487518422375878
16.1,True,False,0.14511862,0.08886698,3.921604727789984
16.2,True,False,0.17266203,0.3419828,3.4054329676245456
16.3,True,False,0.26140976,0.033228822,3.4570483193961707
16.4,True,False,0.3086347,0.00093513547,2.4749046577488105
16.5,True,False,0.36067516,1.08441445e-05,2.9796455127179424
16.6,True,False,0.36320955,0.0,4.145294808185998
16.7,True,False,0.35080945,0.016818864,3.1086521719294966
16.8,True,False,0.3423639,0.073432125,3.6129829377237157
16.9,True,False,0.31604907,0.005143599,3.2473942157649045
17.0,True,False,0.32358074,0.0,2.4444882810782733
17.1,False,False,0.26909506,0.46135232,1.7748678118186392
17.2,False,False,0.22900753,0.019846398,2.2370609198139837
17.3,False,False,0.20673761,0.891007,2.1914034246827896
17.4,False,False,0.16782874,0.14851801,1.13806771575574
17.5,False,False,0.14134233,0.07733392,1.2013457904977238
17.6,False,False,0.10110502,0.107437484,1.4868494219301442
17.7,False,False,0.06419522,0.28416884,1.2407986356609304
17.8,False,False,0.059512243,0.079399355,0.9042873755388554
17.9,False,False,0.08527144,0.1001071,0.997528849105977
18.0,False,False,0.114790864,0.26893497,1.178864648276514
18.1,False,False,0.1397507,0.2213476,1.968291143513383
18.2,False,False,0.15061297,0.080964446,1.7217596071770769
18.3,False,False,0.14507665,0.086076796,2.6489714660941086
18.4,False,False,0.132964,0.27630833,2.66026744400127
18.5,False,False,0.10328599,0.15955916,2.4379767755300255
18.6,False,False,0.09768089,0.18137062,1.457258108721568
18.7,False,False,0.055804964,0.23916857,2.2594072163987997
18.8,False,False,0.032813463,0.39029914,2.933548526833676
18.9,False,False,0.030555552,0.4635213,2.1809167475022546
19.0,False,False,0.02184183,0.1769339,1.9590782307893262
19.1,False,False,0.035343297,0.23591411,1.225222358296065
19.2,False,False,0.052393693,0.051474202,1.091601893390044
19.3,False,False,0.056233898,0.028501678,0.9449078809343808
19.4,False,False,0.10308223,0.05843302,1.0538669448899358
19.5,False,False,0.116545595,0.21997896,1.8043753275724785
19.6,False,False,0.11254343,0.1464134,1.2620077905391585
