"game_tag","clip_id","label","intended_start_s","intended_end_s","intended_duration","probed_duration","drift_sec","bytes","modified_local","relative_path","absolute_path"
"2025-09-13","014","TSC vs NEOFC  GOAL","1904.2","1925.2","21","21","0","32635860","10/5/2025 1:06:12 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20.mp4"
"2025-09-13","015","TSC vs NEOFC  DRIBBLING","1972.5","1980.7","8.2","8.208","0.008","13826910","10/5/2025 1:06:14 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70.mp4"
"2025-09-13","016","TSC vs NEOFC  SHOT","2029.9","2039.5","9.6","9.625","0.025","15037876","10/5/2025 1:06:16 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50.mp4"
"2025-09-13","017","TSC vs NEOFC  SHOT","2284.9","2298.2","13.3","13.333","0.033","20811115","10/5/2025 1:06:19 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__2025-09-13__TSC_vs_NEOFC__SHOT__t2284.90-t2298.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__2025-09-13__TSC_vs_NEOFC__SHOT__t2284.90-t2298.20.mp4"
"2025-09-13","018","TSC vs NEOFC  SHOT","2419.5","2425.6","6.1","6.125","0.025","8879479","10/5/2025 1:06:20 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__SHOT__t2419.50-t2425.60.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__SHOT__t2419.50-t2425.60.mp4"
"2025-09-13","019","TSC vs NEOFC  SHOT","2633","2638.1","5.1","5.125","0.025","7976218","10/5/2025 1:06:22 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__2025-09-13__TSC_vs_NEOFC__SHOT__t2633.00-t2638.10.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__2025-09-13__TSC_vs_NEOFC__SHOT__t2633.00-t2638.10.mp4"
"2025-09-13","020","TSC vs NEOFC  GOAL","2816.6","2831.8","15.2","15.208","0.008","22983902","10/5/2025 1:06:25 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__2025-09-13__TSC_vs_NEOFC__GOAL__t2816.60-t2831.80.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__2025-09-13__TSC_vs_NEOFC__GOAL__t2816.60-t2831.80.mp4"
"2025-09-13","021","TSC vs NEOFC  SHOT","2860.7","2873","12.3","12.333","0.033","18529484","10/5/2025 1:06:27 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__2025-09-13__TSC_vs_NEOFC__SHOT__t2860.70-t2873.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__2025-09-13__TSC_vs_NEOFC__SHOT__t2860.70-t2873.00.mp4"
"2025-09-13","023","TSC vs NEOFC  SHOT","3098.9","3108.8","9.9","9.917","0.017","17044721","10/5/2025 1:06:30 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__2025-09-13__TSC_vs_NEOFC__SHOT__t3098.90-t3108.80.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\023__2025-09-13__TSC_vs_NEOFC__SHOT__t3098.90-t3108.80.mp4"
"2025-09-20","003","TSC vs Greenwood  BUILD UP PLAY SHOT","421","441","20","20.108","0.108","45832672","10/5/2025 12:08:59 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00.mp4"
