start,end,score,event,action_score,mean_flow,center_ratio,ball_speed,team_presence,why
1315.6,1326.6,1.0,passes,1.6337992977152138,2.689523935317993,0.631616990309221,83.10150135761717,0.11078550155611878,keep
1321.61,1332.61,1.0,passes,1.6260205889186925,2.7723677158355713,0.5995170105476129,75.07663072862734,0.1154137143860219,keep
351.06,362.06,1.0,passes,1.6224349788202046,2.5306029319763184,0.6283237546492649,86.3563607366148,0.08484463106356237,keep
1301.35,1312.35,1.0,passes,1.6027218672292018,2.431849956512451,0.581042000866866,145.31031170056434,0.07102316742285485,keep
332.06,343.06,1.0,passes,1.6018611576692188,1.9977130889892578,0.5570811148874398,106.61758299880343,0.08941483289455211,keep
2015.35,2026.35,1.0,passes,1.6018063562172087,2.752817392349243,0.5611058643869964,109.34688165471592,0.08368649225277433,keep
777.64,788.64,1.0,passes,1.59863431838352,2.7998619079589844,0.6016694456192433,93.34374471250672,0.045333711744367566,keep
1740.55,1751.55,1.0,passes,1.5950522338522028,2.221557378768921,0.5575654993297986,70.32749440908552,0.06945646013315848,keep
1396.62,1407.62,1.0,passes,1.594529879843394,2.165505886077881,0.5258771836923871,137.90449054197455,0.09191681183919452,keep
2412.42,2423.42,1.0,passes,1.5927723487392504,2.5687901973724365,0.5743234041033526,118.60330208776367,0.051188318770611654,keep
1958.22,1969.22,1.0,passes,1.5924550150456938,2.335357427597046,0.505176923667156,57.220512427124035,0.1022548448638674,keep
2271.52,2282.52,1.0,passes,1.5892650629952543,2.3866779804229736,0.544638393967957,189.64455748685896,0.0646838620121681,keep
1768.43,1779.43,1.0,passes,1.588156451654112,2.5916051864624023,0.5638081517131642,134.14500739258065,0.04753501535040681,keep
1952.22,1963.22,1.0,passes,1.5858907454684954,2.5202527046203613,0.5090434463772576,82.14979109195636,0.08294427888829524,keep
3114.54,3121.88,1.0,passes,1.585738168790326,2.909604072570801,0.5502302886348782,165.83210859610585,0.05167270549965613,keep
1694.67,1705.67,1.0,passes,1.5848437119961225,2.504380941390991,0.5308016338044567,132.3508909494646,0.06400805463696385,keep
1667.54,1678.54,1.0,passes,1.5846410671750653,2.7601897716522217,0.5428843452168228,93.99127986869658,0.0544394090250461,keep
2277.52,2288.52,1.0,passes,1.584534863633567,2.3536484241485596,0.5407695476072472,159.43150644663575,0.05575999837848171,keep
2196.76,2207.76,1.0,passes,1.5843750304050646,2.145238161087036,0.4942384479643999,110.812009179335,0.0902587400393611,keep
2338.53,2349.53,1.0,passes,1.5834142808068672,2.9808349609375,0.516399963822369,117.19937882036858,0.07123572915039099,keep
2030.6,2041.6,1.0,passes,1.582800115097155,2.61203932762146,0.5384768939918019,96.01326456869275,0.05314261724903587,keep
962.17,973.17,1.0,passes,1.582530271888535,2.1959404945373535,0.5528361040881377,84.87525739479395,0.041698601655234556,keep
1704.3,1715.3,1.0,passes,1.5817046782793873,2.7894701957702637,0.5278610807006132,103.31191152318817,0.05836588517300857,keep
2670.72,2681.72,1.0,passes,1.5807718588421584,2.7951483726501465,0.5487993709037791,134.85508544649758,0.040330118927561505,keep
2297.9,2308.9,1.0,passes,1.5801632491344317,2.655761957168579,0.5507438153280483,82.03430306772316,0.03735026134004283,keep
1899.96,1910.96,1.0,passes,1.5798462850598884,2.6945436000823975,0.5663513729173655,132.64280280933687,0.024852182961697333,keep
3050.91,3061.91,1.0,passes,1.5798100344580828,2.570650577545166,0.5407998846747615,104.89803441283419,0.043925172639135715,keep
583.1,594.1,1.0,passes,1.5794622094826607,2.1853785514831543,0.5419343932119413,73.27264480502352,0.04220472879769543,keep
2260.64,2271.64,1.0,passes,1.5794147793666287,2.9159324169158936,0.5650984727113202,152.47688568762496,0.024713093883081155,keep
3098.54,3109.54,1.0,passes,1.579323677922106,2.557626247406006,0.5473738824961537,105.44935511846607,0.037778782933150235,keep
325.56,336.56,1.0,passes,1.578010748682196,3.204190731048584,0.5381125778684844,100.1044638831958,0.041442438304125945,keep
1475.26,1486.26,1.0,passes,1.5775227500454725,2.015894651412964,0.5485759747418698,112.97697906313773,0.032374894057278676,keep
302.93,313.93,1.0,passes,1.5766544126319462,2.298917770385742,0.542866497556994,76.85937197710865,0.03448615841211977,keep
1287.35,1298.35,1.0,passes,1.5761819361719145,2.883969306945801,0.5501816518355509,138.19166072526448,0.02781860155312294,keep
1372.24,1383.24,1.0,passes,1.5756641271676952,2.801969528198242,0.5154751135168563,104.1586099543343,0.052553982781595565,keep
876.53,887.53,1.0,passes,1.575341556368512,2.6983001232147217,0.5411283427711346,52.583888109457384,0.03250763384292913,keep
244.42,255.42,1.0,passes,1.5753011323054098,2.587920904159546,0.5542056814781656,89.71279939055509,0.022598569654900216,keep
2834.12,2845.12,1.0,passes,1.5752283519531236,2.7961275577545166,0.5449117485654164,78.96811440881277,0.029387068458746498,keep
619.86,630.86,1.0,passes,1.5745612494656138,2.6824514865875244,0.5441615226267469,83.84311380671454,0.02828198169397431,keep
944.92,955.92,1.0,passes,1.5743165471985272,3.013456106185913,0.5316968746477251,94.67125214366362,0.037018712010524264,keep
605.48,616.48,1.0,passes,1.5736895428292312,2.825364589691162,0.5293189182089821,86.06711276848253,0.03723466841634156,keep
2246.14,2257.14,1.0,passes,1.5735510548832479,2.8861327171325684,0.5480169330215,140.07848996095987,0.022864937441994942,keep
2424.67,2435.67,1.0,passes,1.573463667923297,2.365522623062134,0.4854278159900958,48.73499943230267,0.06958830781567085,keep
1039.56,1050.56,1.0,passes,1.5721473233268624,2.3499093055725098,0.5116366006745613,78.64996718606642,0.046640857811235024,keep
