shot_idx,start,end,duration,yavg,yrng,sat,cond,contrast,gamma,brightness,saturation,filter
31,310,320,10,135.678,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
32,320,330,10,132.41,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
33,330,340,10,135.668,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
34,340,350,10,142.027,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
35,350,360,10,144.243,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
36,360,370,10,136.725,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
37,370,380,10,132.616,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
38,380,390,10,133.863,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
39,390,400,10,131.901,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
40,400,410,10,132.823,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
41,410,420,10,134.525,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
42,420,430,10,134.021,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
