"action","src","dst","bytes","reason"
"move","out/atomic_clips/_quarantine/011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00.mp4","DUPES/out_atomic_clips__quarantine_011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00.mp4","29228980","duplicate_exact"
"move","out/atomic_clips/_quarantine/012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00.mp4","DUPES/out_atomic_clips__quarantine_012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00.mp4","35187359","duplicate_exact"
"move","out/atomic_clips/_quarantine/013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00.mp4","DUPES/out_atomic_clips__quarantine_013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00.mp4","35504351","duplicate_exact"
"move","out/atomic_clips/_quarantine/014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00.mp4","DUPES/out_atomic_clips__quarantine_014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00.mp4","26936657","duplicate_exact"
"move","out/atomic_clips/_quarantine/015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00.mp4","DUPES/out_atomic_clips__quarantine_015__2025-09-20__TSC_vs_Greenwood__SHOT__t1081.00-t1088.00.mp4","14933826","duplicate_exact"
"move","out/atomic_clips/_quarantine/016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00.mp4","DUPES/out_atomic_clips__quarantine_016__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00.mp4","26301416","duplicate_exact"
"move","out/atomic_clips/_quarantine/017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00.mp4","DUPES/out_atomic_clips__quarantine_017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00.mp4","31467101","duplicate_exact"
"move","out/atomic_clips/_quarantine/018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00.mp4","DUPES/out_atomic_clips__quarantine_018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00.mp4","71868324","duplicate_exact"
"move","out/atomic_clips/_quarantine/019__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1369.00-t1383.00.mp4","DUPES/out_atomic_clips__quarantine_019__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1369.00-t1383.00.mp4","36501508","duplicate_exact"
"move","out/atomic_clips/_quarantine/020__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1393.00-t1409.00.mp4","DUPES/out_atomic_clips__quarantine_020__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1393.00-t1409.00.mp4","30855470","duplicate_exact"
