frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,50.0,473,482,
15,0.5,50.5,570,574,
30,1.0,50.4,549,561,
45,1.5,49.5,633,647,
60,2.0,50.3,726,738,
75,2.5,59.0,919,935,
90,3.0,78.8,813,828,
105,3.5,84.1,692,718,
120,4.0,80.3,801,821,
135,4.5,82.2,1005,1027,
150,5.0,81.0,980,997,
165,5.5,72.3,937,955,
180,6.0,61.5,931,952,
195,6.5,52.7,913,932,
210,7.0,49.8,929,940,
225,7.5,50.1,970,976,
240,8.0,50.6,971,989,
255,8.5,53.5,933,947,
270,9.0,58.0,959,970,
285,9.5,61.8,1033,1050,
300,10.0,64.4,1077,1086,
315,10.5,67.3,1083,1094,
330,11.0,63.6,1098,1110,
345,11.5,64.1,1133,1151,
360,12.0,62.6,1058,1073,
375,12.5,57.7,934,947,
390,13.0,57.5,916,927,
405,13.5,58.0,803,818,
420,14.0,56.9,732,745,
435,14.5,55.2,588,598,
450,15.0,55.7,628,635,
465,15.5,62.4,610,618,
480,16.0,65.4,545,548,
495,16.5,66.4,778,785,
510,17.0,65.8,831,843,
525,17.5,60.6,764,775,
540,18.0,54.9,727,733,
555,18.5,50.6,497,505,
