"NormKey","GroupCount","IsKeeper","IsFinal","HasDebug","LengthMB","LastWriteTime","FullName"
"038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","True","True","False","11.61","1/17/2026 12:06:57 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","0.98","1/17/2026 12:10:29 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","0.72","1/17/2026 12:10:57 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\038__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2411.00-t2431.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","4","True","True","False","11.24","1/17/2026 12:14:55 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","4","False","True","False","2.49","1/17/2026 12:17:39 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","4","False","True","False","0.96","1/17/2026 12:19:21 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","4","False","True","False","0.73","1/17/2026 12:19:52 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2894.00-t2914.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","True","True","False","11.19","1/17/2026 12:22:52 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","0.94","1/17/2026 12:28:34 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","0.66","1/17/2026 12:29:04 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\039__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t2485.00-t2506.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
