"NormKey","GroupCount","IsKeeper","KeeperHint","HasDebug","LengthMB","LastWriteTime","FullName"
"stabilized","873","False","False","False","3.46","11/17/2025 3:43:17 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","5.48","11/17/2025 3:43:35 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","5.71","11/17/2025 3:43:54 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","6.84","11/17/2025 3:44:12 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","9.92","11/17/2025 3:44:31 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4"
"stabilized","873","False","False","False","0.73","11/17/2025 3:44:46 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","0.88","11/17/2025 3:44:55 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","1.56","11/17/2025 3:45:04 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","2.62","11/17/2025 3:45:13 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","3.26","11/17/2025 3:45:22 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","4","11/17/2025 3:45:31 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC\follow\stabilized.mp4"
"stabilized","873","False","False","False","5.71","11/17/2025 3:45:41 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST\follow\stabilized.mp4"
"stabilized","873","False","False","False","0.7","11/17/2025 3:45:53 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\autoframe_work\cinematic\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC\follow\stabilized.mp4"
