Original YOLO detections: 171 entries
Frame | cx | cy | conf
  f217: cx=1089.7 (56.8%), cy=630.76, conf=0.3495
  f219: cx=919.61 (47.9%), cy=596.69, conf=0.3639
  f220: cx=871.55 (45.4%), cy=585.87, conf=0.4146
  f221: cx=941.77 (49.1%), cy=598.22, conf=0.4525
  f223: cx=1015.8 (52.9%), cy=609.69, conf=0.4074
  f228: cx=1068.69 (55.7%), cy=614.73, conf=0.3638
  f232: cx=1079.02 (56.2%), cy=615.69, conf=0.3489
  f235: cx=1062.66 (55.3%), cy=619.91, conf=0.3197
  f236: cx=1041.02 (54.2%), cy=624.3, conf=0.2984
  f239: cx=1028.27 (53.6%), cy=601.7, conf=0.2822
  f244: cx=986.11 (51.4%), cy=575.17, conf=0.2662
  f254: cx=914.06 (47.6%), cy=567.2, conf=0.271
  f262: cx=826.83 (43.1%), cy=575.76, conf=0.2538
  f282: cx=1512.3 (78.8%), cy=687.43, conf=0.2306
  f287: cx=1533.27 (79.9%), cy=691.85, conf=0.2352
  f288: cx=1561.72 (81.3%), cy=697.64, conf=0.304
  f289: cx=1591.51 (82.9%), cy=703.1, conf=0.3573
  f290: cx=1619.73 (84.4%), cy=707.8, conf=0.3427
  f291: cx=1642.71 (85.6%), cy=711.52, conf=0.3334
  f295: cx=1449.94 (75.5%), cy=692.76, conf=0.3133
  f296: cx=1211.21 (63.1%), cy=669.01, conf=0.2983
  f298: cx=1108.27 (57.7%), cy=718.62, conf=0.2979
  f302: cx=1242.05 (64.7%), cy=775.55, conf=0.2876
  f362: cx=1445.71 (75.3%), cy=491.13, conf=0.3058
  f363: cx=1450.62 (75.6%), cy=499.63, conf=0.3546
  f368: cx=1432.38 (74.6%), cy=537.47, conf=0.3289
  f390: cx=812.24 (42.3%), cy=539.5, conf=0.2471
  f391: cx=812.26 (42.3%), cy=539.5, conf=0.2432
  f392: cx=809.68 (42.2%), cy=539.67, conf=0.2636
  f400: cx=695.27 (36.2%), cy=624.91, conf=0.2636
  f401: cx=572.47 (29.8%), cy=721.88, conf=0.2647
  f420: cx=512.52 (26.7%), cy=545.06, conf=0.3529
  f421: cx=512.52 (26.7%), cy=545.06, conf=0.3536
  f429: cx=508.33 (26.5%), cy=544.24, conf=0.329
  f430: cx=513.55 (26.7%), cy=554.09, conf=0.3505
  f431: cx=524.02 (27.3%), cy=568.94, conf=0.3609
  f432: cx=539.97 (28.1%), cy=612.58, conf=0.3309
  f443: cx=518.55 (27.0%), cy=789.52, conf=0.3092
  f447: cx=442.53 (23.0%), cy=839.7, conf=0.2831
  f457: cx=365.73 (19.0%), cy=839.36, conf=0.2744
  f458: cx=311.2 (16.2%), cy=827.9, conf=0.2649
  f472: cx=837.93 (43.6%), cy=720.22, conf=0.3948
  f474: cx=712.22 (37.1%), cy=709.24, conf=0.3832
  f487: cx=275.41 (14.3%), cy=595.82, conf=0.2149
  f488: cx=366.58 (19.1%), cy=604.7, conf=0.2709
  f489: cx=501.71 (26.1%), cy=616.99, conf=0.357
  f490: cx=619.94 (32.3%), cy=634.89, conf=0.3292
  f491: cx=711.23 (37.0%), cy=653.91, conf=0.3083
  f492: cx=765.89 (39.9%), cy=658.76, conf=0.293
  f494: cx=687.7 (35.8%), cy=633.49, conf=0.2717
  f495: cx=574.34 (29.9%), cy=607.06, conf=0.3253
  f496: cx=483.65 (25.2%), cy=587.87, conf=0.3671
  f497: cx=420.14 (21.9%), cy=577.82, conf=0.3843
