start,end,score,event,action_score,mean_flow,center_ratio,ball_speed,team_presence,why
1315.6,1326.6,1.0,passes,1.6149737874232373,2.689523935317993,0.631616990309221,83.10150135761717,0.10195476132188405,keep
351.06,362.06,1.0,passes,1.6083870952499304,2.5306029319763184,0.6283237546492649,86.3563607366148,0.07955987542060294,keep
1321.61,1332.61,1.0,passes,1.60648114863291,2.7723677158355713,0.5995170105476129,75.07663072862734,0.10650418187450475,keep
777.64,788.64,1.0,passes,1.5909620302349976,2.7998619079589844,0.6016694456192433,93.34374471250672,0.04184478619689813,keep
1301.35,1312.35,1.0,passes,1.5896204297177492,2.431849956512451,0.581042000866866,145.31031170056434,0.061231317830757345,keep
2015.35,2026.35,1.0,passes,1.5877704445958518,2.752817392349243,0.5611058643869964,109.34688165471592,0.07775474111901136,keep
332.06,343.06,1.0,passes,1.5872969943788828,1.9977130889892578,0.5570811148874398,106.61758299880343,0.08480707946993991,keep
2412.42,2423.42,1.0,passes,1.5844166922241398,2.5687901973724365,0.5743234041033526,118.60330208776367,0.04847868397253678,keep
1740.55,1751.55,1.0,passes,1.5839422393864968,2.221557378768921,0.5575654993297986,70.32749440908552,0.0666903583502288,keep
1768.43,1779.43,1.0,passes,1.5802636110686878,2.5916051864624023,0.5638081517131642,134.14500739258065,0.04448466221895452,keep
1396.62,1407.62,1.0,passes,1.5784785023610604,2.165505886077881,0.5258771836923871,137.90449054197455,0.08286138901337661,keep
2271.52,2282.52,1.0,passes,1.5778414867076642,2.3866779804229736,0.544638393967957,189.64455748685896,0.05779987406910898,keep
3114.54,3121.88,1.0,passes,1.5767393358826414,2.909604072570801,0.5502302886348782,165.83210859610585,0.046680997168711706,keep
1667.54,1678.54,1.0,passes,1.5756392501744994,2.7601897716522217,0.5428843452168228,93.99127986869658,0.05109578643780981,keep
1899.96,1910.96,1.0,passes,1.575588274854655,2.6945436000823975,0.5663513729173655,132.64280280933687,0.02273145191778156,keep
962.17,973.17,1.0,passes,1.5753924592298922,2.1959404945373535,0.5528361040881377,84.87525739479395,0.0381665120138046,keep
2260.64,2271.64,1.0,passes,1.5749026926414955,2.9159324169158936,0.5650984727113202,152.47688568762496,0.021492603312398103,keep
2277.52,2288.52,1.0,passes,1.5748449078290359,2.3536484241485596,0.5407695476072472,159.43150644663575,0.0504561741874466,keep
1694.67,1705.67,1.0,passes,1.5745896326861173,2.504380941390991,0.5308016338044567,132.3508909494646,0.0613965701791208,keep
1958.22,1969.22,1.0,passes,1.5745768102700783,2.335357427597046,0.505176923667156,57.220512427124035,0.09209493267972582,keep
2297.9,2308.9,1.0,passes,1.5739930925075776,2.655761957168579,0.5507438153280483,82.03430306772316,0.03507979163665213,keep
2030.6,2041.6,1.0,passes,1.573964768196039,2.61203932762146,0.5384768939918019,96.01326456869275,0.04968679999399319,keep
2670.72,2681.72,1.0,passes,1.57392161584167,2.7951483726501465,0.5487993709037791,134.85508544649758,0.03712721828214497,keep
3098.54,3109.54,1.0,passes,1.573002991814624,2.557626247406006,0.5473738824961537,105.44935511846607,0.035163308263111495,keep
3050.91,3061.91,1.0,passes,1.5724562313310142,2.570650577545166,0.5407998846747615,104.89803441283419,0.04086506371434317,keep
1704.3,1715.3,1.0,passes,1.5721714644498732,2.7894701957702637,0.5278610807006132,103.31191152318817,0.05525256095875688,keep
1475.26,1486.26,1.0,passes,1.5721399176164605,2.015894651412964,0.5485759747418698,112.97697906313773,0.030268500775598443,keep
583.1,594.1,1.0,passes,1.5718082047981692,2.1853785514831543,0.5419343932119413,73.27264480502352,0.03691154733834676,keep
1952.22,1963.22,1.0,passes,1.571564621172289,2.5202527046203613,0.5090434463772576,82.14979109195636,0.07540634903644572,keep
244.42,255.42,1.0,passes,1.5714317173834644,2.587920904159546,0.5542056814781656,89.71279939055509,0.02068005176005934,keep
2338.53,2349.53,1.0,passes,1.571423326839457,2.9808349609375,0.516399963822369,117.19937882036858,0.06601335077098573,keep
1287.35,1298.35,1.0,passes,1.5713969610378986,2.883969306945801,0.5501816518355509,138.19166072526448,0.02536986194893269,keep
325.56,336.56,1.0,passes,1.571139701099044,3.204190731048584,0.5381125778684844,100.1044638831958,0.03882371095399408,keep
302.93,313.93,1.0,passes,1.5708380413037961,2.298917770385742,0.542866497556994,76.85937197710865,0.03191236814679173,keep
2834.12,2845.12,1.0,passes,1.5703018602828027,2.7961275577545166,0.5449117485654164,78.96811440881277,0.027313342852711094,keep
876.53,887.53,1.0,passes,1.5698740321457278,2.6983001232147217,0.5411283427711346,52.583888109457384,0.030142117257549596,keep
619.86,630.86,1.0,passes,1.5698712883119916,2.6824514865875244,0.5441615226267469,83.84311380671454,0.026491326095870477,keep
2196.76,2207.76,1.0,passes,1.5696675037222274,2.145238161087036,0.4942384479643999,110.812009179335,0.08558387733162909,keep
2246.14,2257.14,1.0,passes,1.5695073560081718,2.8861327171325684,0.5480169330215,140.07848996095987,0.02040910440688749,keep
944.92,955.92,1.0,passes,1.568214710879034,3.013456106185913,0.5316968746477251,94.67125214366362,0.034822593938866546,keep
605.48,616.48,1.0,passes,1.5675189501421152,2.825364589691162,0.5293189182089821,86.06711276848253,0.03489309871768192,keep
3057.66,3068.66,1.0,passes,1.566795219255365,3.0138630867004395,0.5377559908051252,133.0345338770618,0.02187368805530953,keep
1372.24,1383.24,1.0,passes,1.5666583223927293,2.801969528198242,0.5154751135168563,104.1586099543343,0.048063153350689794,keep
268.8,279.8,1.0,passes,1.5659246682753742,2.3712828159332275,0.5334708361345081,78.97468674644523,0.0235336697400867,keep
