start,end,score,event
2424.67,2435.67,1.000,passes
2437.80,2448.80,1.000,passes
2462.55,2473.55,1.000,passes
2474.06,2485.06,1.000,passes
2483.31,2494.31,1.000,passes
2496.69,2507.69,1.000,passes
2503.06,2514.06,1.000,passes
2517.56,2528.56,1.000,passes
2532.07,2543.07,1.000,passes
2538.07,2549.07,1.000,passes
2560.07,2571.07,1.000,passes
2571.07,2582.07,1.000,passes
2578.45,2589.45,1.000,passes
2590.58,2601.58,1.000,passes
2610.08,2621.08,1.000,passes
2616.33,2627.33,1.000,passes
2625.83,2636.83,1.000,passes
2637.33,2648.33,1.000,passes
2650.96,2661.96,1.000,passes
2670.72,2681.72,1.000,passes
2677.09,2688.09,1.000,passes
2691.09,2702.09,1.000,passes
2709.10,2720.10,1.000,passes
2715.10,2726.10,1.000,passes
2736.60,2747.60,1.000,passes
2747.98,2758.98,1.000,passes
2756.11,2767.11,1.000,passes
2762.11,2773.11,1.000,passes
2785.61,2796.61,1.000,passes
2791.61,2802.61,1.000,passes
2807.11,2818.11,1.000,passes
2813.12,2824.12,1.000,passes
2828.12,2839.12,1.000,passes
2834.12,2845.12,1.000,passes
2841.25,2852.25,1.000,passes
2867.00,2878.00,1.000,passes
2876.88,2887.88,1.000,passes
2882.88,2893.88,1.000,passes
2894.00,2905.00,1.000,passes
2905.26,2916.26,1.000,passes
2919.13,2930.13,1.000,passes
2935.89,2946.89,1.000,passes
2941.89,2952.89,1.000,passes
2968.14,2979.14,1.000,passes
2980.27,2991.27,1.000,passes
2995.77,3006.77,1.000,passes
3012.28,3023.28,1.000,passes
3018.28,3029.28,1.000,passes
3025.40,3036.40,1.000,passes
3038.03,3049.03,1.000,passes
3050.91,3061.91,1.000,passes
3057.66,3068.66,1.000,passes
3064.78,3075.78,1.000,passes
3081.54,3092.54,1.000,passes
3098.54,3109.54,1.000,passes
3114.54,3121.88,1.000,passes
