start,end
4.128,5.376
38.48533333333334,40.448
106.35733333333333,107.89333333333333
163.552,164.81066666666666
165.632,167.94666666666666
168.65066666666667,170.82666666666665
173.41866666666667,174.912
182.89066666666668,186.90133333333333
187.78666666666666,189.408
198.64533333333333,200.448
212.82133333333334,226.44266666666667
233.83466666666666,236.384
247.776,249.248
251.12533333333334,253.12
259.62666666666667,262.112
272.128,275.12533333333334
275.1786666666667,277.3546666666667
278.10133333333334,282.784
283.31733333333335,288.1813333333333
288.288,289.696
289.9413333333333,291.5733333333333
292.288,302.32533333333333
316.64,318.6453333333333
324.27733333333333,325.664
325.7386666666667,328.704
328.97066666666666,330.6453333333333
330.912,333.97333333333336
334.41066666666666,336.384
341.664,343.7013333333333
352.224,355.1893333333333
355.3706666666667,356.98133333333334
359.04,360.928
362.1546666666667,365.30133333333333
368.832,370.2506666666667
428.096,429.36533333333335
431.02933333333334,432.832
512.1386666666667,513.632
514.4746666666666,517.3013333333333
546.3253333333333,548.064
562.88,565.0773333333333
565.4506666666666,569.376
570.7413333333334,572.3626666666667
594.5813333333333,596.192
599.4133333333333,606.8373333333333
606.912,611.7866666666666
614.4,615.68
706.9546666666666,712.5546666666667
740.1493333333333,742.944
745.5573333333333,751.6586666666667
752.3413333333333,778.3466666666667
782.3253333333333,785.248
785.3866666666667,787.4026666666666
787.5306666666667,790.56
791.3813333333334,792.7466666666667
792.8746666666667,794.1866666666666
798.3253333333333,815.0293333333333
816.8426666666667,821.728
829.6533333333333,831.6586666666667
832.128,834.9226666666667
837.1626666666667,843.1786666666667
846.4746666666666,849.4826666666667
850.0266666666666,851.4773333333334
879.9786666666666,882.0053333333333
887.488,904.0213333333334
951.1253333333333,952.7893333333334
958.368,960.2666666666667
960.576,962.336
964.3733333333333,967.4666666666667
969.088,972.672
972.7573333333333,974.7626666666666
982.7306666666667,984.8426666666667
986.7093333333333,988.256
988.5013333333334,995.008
995.0293333333333,1002.336
1007.4666666666667,1008.9813333333333
1035.6586666666667,1039.5093333333334
1078.2293333333334,1081.024
1129.984,1131.4986666666666
1190.9546666666668,1194.624
1256.0213333333334,1257.6853333333333
1258.2293333333334,1261.0453333333332
1283.5306666666668,1286.112
1291.4986666666666,1292.8746666666666
1300.8533333333332,1303.552
1304.416,1305.7066666666667
1307.904,1337.504
1338.9013333333332,1340.1813333333334
1362.848,1364.6506666666667
1369.8133333333333,1372.9386666666667
1373.952,1377.6426666666666
1380.0853333333334,1381.3013333333333
1389.3546666666666,1391.7653333333333
1392.16,1393.8346666666666
1396.6506666666667,1397.92
1424.4693333333332,1426.4426666666666
1429.4506666666666,1430.912
1438.1866666666667,1441.5573333333334
1478.8906666666667,1502.6026666666667
1503.2213333333334,1508.48
1552.2453333333333,1553.9946666666667
1555.5733333333333,1557.2266666666667
1589.9093333333333,1591.2426666666668
1603.072,1604.9386666666667
1628.5866666666666,1643.456
1649.7173333333333,1651.0826666666667
1653.76,1655.648
1656.3626666666667,1658.2826666666667
1661.3333333333333,1662.56
1662.6133333333332,1663.84
1724.1706666666666,1725.4613333333334
1746.4853333333333,1750.1226666666666
1750.1333333333334,1751.5093333333334
1757.216,1759.264
1759.84,1767.456
1767.7653333333333,1769.1733333333334
1769.5466666666666,1770.8586666666667
1771.4026666666666,1773.8666666666666
1781.6213333333333,1783.872
1789.0346666666667,1793.3973333333333
1885.728,1887.2746666666667
1902.9546666666668,1904.1813333333334
1915.7973333333334,1919.0293333333334
1919.1786666666667,1920.6293333333333
1923.2533333333333,1927.0613333333333
1960.064,1978.56
1996.5973333333334,1998.1546666666666
2032.096,2035.1466666666668
2036.5546666666667,2040.8533333333332
2041.9733333333334,2043.6906666666666
2043.8613333333333,2045.1093333333333
2058.634666666667,2059.9893333333334
2078.176,2080.352
2083.872,2085.376
2088.64,2090.112
2117.9733333333334,2119.6266666666666
2121.0026666666668,2140.416
2155.2853333333333,2156.5226666666667
2230.154666666667,2232.2026666666666
2235.136,2236.597333333333
2247.456,2250.4
2250.826666666667,2266.6133333333332
2282.346666666667,2284.128
2290.0266666666666,2292.7573333333335
2294.9866666666667,2296.8533333333335
2296.896,2302.517333333333
2304.789333333333,2306.7413333333334
2307.456,2308.885333333333
2364.2773333333334,2365.557333333333
2381.376,2382.688
2476.5653333333335,2478.2613333333334
2498.6453333333334,2500.021333333333
2534.7093333333332,2555.808
2575.328,2577.557333333333
2578.7626666666665,2582.1973333333335
2582.3786666666665,2593.5146666666665
2593.7173333333335,2595.306666666667
2599.6266666666666,2619.114666666667
2619.2746666666667,2622.3573333333334
2625.44,2632.6613333333335
2633.3013333333333,2635.808
2638.624,2639.84
