start,end,type,score,team,source,reason,event_ids,all_types
1281.35,1344.11,SHOT,100.087,us,highlights_shots;highlights_filtered;highlights_build,shots_csv action=1.576 ball_speed=138.2 team_presence=0.028; filtered def action=1.571 speed=138.2; build_csv action=1.606 ball_speed=145.3; shots_csv action=1.603 ball_speed=145.3 team_presence=0.071; build_csv action=1.639 ball_speed=83.1; shots_csv action=1.634 ball_speed=83.1 team_presence=0.111; build_csv action=1.632 ball_speed=75.1; shots_csv action=1.626 ball_speed=75.1 team_presence=0.115; shots_csv action=1.564 ball_speed=59.6 team_presence=0.037,"def_action_0126,off_buildup_0175,off_buildup_0176,off_buildup_0179,shot_0015,shot_0016,shot_0018,shot_0048,shot_0074",DEF_ACTION;OFF_BUILDUP;SHOT
1353.24,1416.99,SHOT,99.651,us,highlights_shots;highlights_build,shots_csv action=1.547 ball_speed=66.6 team_presence=0.037; shots_csv action=1.576 ball_speed=104.2 team_presence=0.053; shots_csv action=1.562 ball_speed=102.5 team_presence=0.045; build_csv action=1.599 ball_speed=137.9; shots_csv action=1.595 ball_speed=137.9 team_presence=0.092; shots_csv action=1.552 ball_speed=133.0 team_presence=0.110,"off_buildup_0182,shot_0023,shot_0049,shot_0081,shot_0092,shot_0095",OFF_BUILDUP;SHOT
1469.26,1506.26,SHOT,98.269,us,highlights_shots,shots_csv action=1.578 ball_speed=113.0 team_presence=0.032; shots_csv action=1.563 ball_speed=80.5 team_presence=0.038; shots_csv action=1.405 ball_speed=123.7 team_presence=0.051,"shot_0046,shot_0080,shot_0109",SHOT
1629.04,1681.54,SHOT,98.316,mixed,highlights_shots;highlights_filtered;highlights_build,shots_csv action=1.427 ball_speed=138.1 team_presence=0.014; filtered def action=1.424 speed=138.1; shots_csv action=1.568 ball_speed=82.9 team_presence=0.039; build_csv action=1.587 ball_speed=94.0; shots_csv action=1.585 ball_speed=94.0 team_presence=0.054,"def_action_0172,off_buildup_0192,shot_0031,shot_0066,shot_0106",DEF_ACTION;OFF_BUILDUP;SHOT
1687.67,1754.55,GOAL,109.96,us,highlights_build;highlights_shots;goal_resets,build_csv action=1.588 ball_speed=132.4; shots_csv action=1.585 ball_speed=132.4 team_presence=0.064; build_csv action=1.585 ball_speed=103.3; shots_csv action=1.582 ball_speed=103.3 team_presence=0.058; goal_resets score=0.996; shots_csv action=0.956 ball_speed=113.9 team_presence=0.113; build_csv action=1.599 ball_speed=70.3; shots_csv action=1.595 ball_speed=70.3 team_presence=0.069,"goal_0002,off_buildup_0183,off_buildup_0191,off_buildup_0196,shot_0022,shot_0030,shot_0037,shot_0117",GOAL;OFF_BUILDUP;SHOT
1755.06,1793.69,GOAL,109.69,us,highlights_shots;goal_resets;highlights_build,shots_csv action=1.507 ball_speed=118.1 team_presence=0.067; goal_resets score=0.969; build_csv action=1.591 ball_speed=134.1; shots_csv action=1.588 ball_speed=134.1 team_presence=0.048; shots_csv action=1.302 ball_speed=84.3 team_presence=0.067,"goal_0003,off_buildup_0187,shot_0027,shot_0099,shot_0111",GOAL;OFF_BUILDUP;SHOT
1823.57,1863.66,GOAL,109.78,us,highlights_shots;goal_resets,shots_csv action=1.570 ball_speed=79.4 team_presence=0.057; shots_csv action=1.568 ball_speed=103.5 team_presence=0.049; goal_resets score=0.978,"goal_0004,shot_0061,shot_0068",GOAL;SHOT
1892.96,1972.22,GOAL,110.0,mixed,highlights_build;highlights_shots;highlights_filtered;goal_resets,build_csv action=1.581 ball_speed=132.6; shots_csv action=1.580 ball_speed=132.6 team_presence=0.025; filtered def action=1.576 speed=132.6; shots_csv action=1.563 ball_speed=104.1 team_presence=0.022; filtered def action=1.560 speed=104.1; shots_csv action=1.566 ball_speed=124.5 team_presence=0.033; shots_csv action=1.550 ball_speed=133.7 team_presence=0.048; shots_csv action=1.448 ball_speed=80.8 team_presence=0.047; shots_csv action=1.231 ball_speed=72.1 team_presence=0.092; build_csv action=1.590 ball_speed=82.1; shots_csv action=1.586 ball_speed=82.1 team_presence=0.083; build_csv action=1.598 ball_speed=57.2; shots_csv action=1.592 ball_speed=57.2 team_presence=0.102; goal_resets score=1.000; goal_resets score=1.000,"def_action_0123,def_action_0136,goal_0005,off_buildup_0184,off_buildup_0188,off_buildup_0203,shot_0025,shot_0028,shot_0040,shot_0069,shot_0075,shot_0093,shot_0104,shot_0114",DEF_ACTION;GOAL;OFF_BUILDUP;SHOT
1978.97,2044.6,SHOT,98.282,us,highlights_shots;highlights_build,shots_csv action=1.089 ball_speed=147.9 team_presence=0.094; shots_csv action=1.568 ball_speed=60.5 team_presence=0.061; build_csv action=1.606 ball_speed=109.3; shots_csv action=1.602 ball_speed=109.3 team_presence=0.084; build_csv action=1.585 ball_speed=96.0; shots_csv action=1.583 ball_speed=96.0 team_presence=0.053,"off_buildup_0180,off_buildup_0195,shot_0020,shot_0035,shot_0064,shot_0115",OFF_BUILDUP;SHOT
2046.36,2103.99,SHOT,95.241,mixed,highlights_shots;highlights_filtered,shots_csv action=0.987 ball_speed=42.5 team_presence=0.079; shots_csv action=0.912 ball_speed=73.0 team_presence=0.078; filtered def action=1.525 speed=111.9; shots_csv action=1.319 ball_speed=93.8 team_presence=0.019,"def_action_0163,shot_0110,shot_0116,shot_0118",DEF_ACTION;SHOT
