"start","end","len","src"
"1847","0.8","-1846.2","hi_shots"
"1847","0.8","-1846.2","hi_filtered"
"1850","3","-1847","goal_forced"
"1858","3","-1855","goal"
"1858","0.8","-1857.2","hi_filtered"
"1865","0.8","-1864.2","hi_filtered"
"1876","0.8","-1875.2","hi_filtered"
"1899","0.8","-1898.2","hi_filtered"
"1899","0.8","-1898.2","hi_shots"
"1906","0.8","-1905.2","hi_filtered"
"1906","0.8","-1905.2","hi_shots"
"1915","0.8","-1914.2","hi_filtered"
"1915","0.8","-1914.2","hi_shots"
"1925","0.8","-1924.2","hi_filtered"
"1925","0.8","-1924.2","hi_shots"
"1931","0.8","-1930.2","hi_filtered"
"1931","0.8","-1930.2","hi_shots"
"1937","0.8","-1936.2","hi_filtered"
"1943","0.8","-1942.2","hi_shots"
"1943","0.8","-1942.2","hi_filtered"
"1951","0.8","-1950.2","hi_filtered"
"1951","0.8","-1950.2","hi_shots"
"1956","3","-1953","goal_forced"
"1957","0.8","-1956.2","hi_shots"
"1957","0.8","-1956.2","hi_filtered"
"1964","3","-1961","goal"
"1964","3","-1961","goal"
"1984","0.8","-1983.2","hi_shots"
"1984","0.8","-1983.2","hi_filtered"
"1999","0.8","-1998.2","hi_filtered"
"1999","0.8","-1998.2","hi_shots"
"2015","0.8","-2014.2","hi_shots"
"2015","0.8","-2014.2","hi_filtered"
"2030","0.8","-2029.2","hi_shots"
"2030","0.8","-2029.2","hi_filtered"
"2045","0.8","-2044.2","hi_filtered"
"2052","0.8","-2051.2","hi_filtered"
"2052","0.8","-2051.2","hi_shots"
"2064","0.8","-2063.2","hi_filtered"
"2064","0.8","-2063.2","hi_shots"
"2077","0.8","-2076.2","hi_filtered"
"2089","0.8","-2088.2","hi_filtered"
"2089","0.8","-2088.2","hi_shots"
"2114","0.8","-2113.2","hi_filtered"
"2120","0.8","-2119.2","hi_filtered"
"2158","0.8","-2157.2","hi_filtered"
"2168","3","-2165","goal_forced"
"2176","3","-2173","goal"
"2196","0.8","-2195.2","hi_filtered"
"2196","0.8","-2195.2","hi_shots"
"2205","0.8","-2204.2","hi_filtered"
"2222","0.8","-2221.2","hi_shots"
"2222","0.8","-2221.2","hi_filtered"
"2239","0.8","-2238.2","hi_filtered"
"2245","0.8","-2244.2","hi_shots"
"2245","0.8","-2244.2","hi_filtered"
"2260","0.8","-2259.2","hi_shots"
"2260","0.8","-2259.2","hi_filtered"
"2271","0.8","-2270.2","hi_filtered"
"2271","0.8","-2270.2","hi_shots"
"2277","0.8","-2276.2","hi_shots"
"2277","0.8","-2276.2","hi_filtered"
"2297","0.8","-2296.2","hi_shots"
"2297","0.8","-2296.2","hi_filtered"
"2308","0.8","-2307.2","hi_filtered"
"2312","3","-2309","goal_forced"
"2320","3","-2317","goal"
"2323","3","-2320","goal_forced"
"2331","3","-2328","goal"
"2338","0.8","-2337.2","hi_filtered"
"2338","0.8","-2337.2","hi_shots"
"2351","3","-2348","goal_forced"
"2355","0.8","-2354.2","hi_filtered"
"2359","3","-2356","goal"
"2361","0.8","-2360.2","hi_filtered"
"2361","0.8","-2360.2","hi_shots"
"2373","0.8","-2372.2","hi_filtered"
"2373","0.8","-2372.2","hi_shots"
"2384","3","-2381","goal_forced"
"2384","0.8","-2383.2","hi_filtered"
"2392","3","-2389","goal"
"2392","3","-2389","goal"
"2412","0.8","-2411.2","hi_filtered"
"2412","0.8","-2411.2","hi_shots"
"2424","0.8","-2423.2","hi_shots"
"2424","0.8","-2423.2","hi_filtered"
"2437","0.8","-2436.2","hi_filtered"
"2473","0.8","-2472.2","hi_filtered"
"2483","0.8","-2482.2","hi_filtered"
"2496","0.8","-2495.2","hi_filtered"
"2502","0.8","-2501.2","hi_filtered"
"2517","0.8","-2516.2","hi_filtered"
"2559","0.8","-2558.2","hi_filtered"
"2578","0.8","-2577.2","hi_filtered"
"2590","0.8","-2589.2","hi_filtered"
"2598","3","-2595","goal_forced"
"2606","3","-2603","goal"
"2606","3","-2603","goal"
"2619","3","-2616","goal_forced"
"2625","0.8","-2624.2","hi_filtered"
"2627","3","-2624","goal"
"2637","0.8","-2636.2","hi_filtered"
"2650","0.8","-2649.2","hi_filtered"
"2650","0.8","-2649.2","hi_shots"
"2670","0.8","-2669.2","hi_shots"
"2670","0.8","-2669.2","hi_filtered"
"2690","0.8","-2689.2","hi_filtered"
"2708","0.8","-2707.2","hi_filtered"
"2736","0.8","-2735.2","hi_filtered"
"2747","0.8","-2746.2","hi_filtered"
"2747","0.8","-2746.2","hi_shots"
"2755","0.8","-2754.2","hi_filtered"
"2761","0.8","-2760.2","hi_filtered"
"2785","0.8","-2784.2","hi_filtered"
"2791","0.8","-2790.2","hi_filtered"
"2806","0.8","-2805.2","hi_filtered"
"2827","0.8","-2826.2","hi_filtered"
"2827","0.8","-2826.2","hi_shots"
"2833","0.8","-2832.2","hi_filtered"
"2833","0.8","-2832.2","hi_shots"
"2840","0.8","-2839.2","hi_filtered"
"2840","0.8","-2839.2","hi_shots"
"2866","0.8","-2865.2","hi_filtered"
"2866","0.8","-2865.2","hi_shots"
"2876","0.8","-2875.2","hi_filtered"
"2876","0.8","-2875.2","hi_shots"
"2882","0.8","-2881.2","hi_filtered"
"2893","0.8","-2892.2","hi_filtered"
"2893","0.8","-2892.2","hi_shots"
"2904","0.8","-2903.2","hi_filtered"
"2918","0.8","-2917.2","hi_filtered"
"2918","0.8","-2917.2","hi_shots"
"2919","0.8","-2918.2","plays"
"2979","0.8","-2978.2","hi_shots"
"2979","0.8","-2978.2","hi_filtered"
"2995","0.8","-2994.2","hi_shots"
"2995","0.8","-2994.2","hi_filtered"
"3011","0.8","-3010.2","hi_shots"
"3011","0.8","-3010.2","hi_filtered"
"3025","0.8","-3024.2","hi_filtered"
"3037","0.8","-3036.2","hi_filtered"
"3037","0.8","-3036.2","hi_shots"
"3050","0.8","-3049.2","hi_shots"
"3050","0.8","-3049.2","hi_filtered"
"3057","0.8","-3056.2","hi_shots"
"3057","0.8","-3056.2","hi_filtered"
"3064","0.8","-3063.2","hi_filtered"
"3072","3","-3069","goal_forced"
"3080","3","-3077","goal"
"3080","3","-3077","goal"
"3080","3","-3077","goal"
"3081","0.8","-3080.2","hi_filtered"
"3087","3","-3084","goal"
"3098","0.8","-3097.2","hi_filtered"
"3098","0.8","-3097.2","hi_shots"
"3114","0.8","-3113.2","hi_filtered"
"3114","0.8","-3113.2","hi_shots"
