t0,t1,label,score,src
2477.185,2491.185,PASSES,1.0,highlights_build+highlights_filtered
2498.375,2512.375,PASSES,1.0,highlights_build+highlights_filtered
2517.56,2528.56,PASSES,1.0,highlights_filtered
2560.07,2571.07,PASSES,1.0,highlights_filtered
2583.015,2597.015,PASSES,1.0,highlights_build+highlights_filtered
2599.29,2618.79,GOAL+GOAL_FORCED,1.0,events_core+forced_goals
2620.63,2644.08,GOAL+GOAL_FORCED+PASSES,1.0,events_core+forced_goals+highlights_build+highlights_filtered
2647.13,2661.96,GOAL_RESETS+PASSES,1.0,goal_resets+highlights_build+highlights_filtered+highlights_shots
2669.22,2703.59,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2708.2,2721.0,PASSES,1.0,highlights_filtered
2747.855,2768.98,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2787.11,2801.11,PASSES,1.0,highlights_build+highlights_filtered
2807.0,2818.2200000000003,PASSES,1.0,highlights_filtered
2833.185,2847.185,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2848.75,2862.75,SHOT,0.0,events_core
2884.63,2898.63,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2901.0,2915.0,SHOT,0.0,events_core
2917.63,2940.63,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2980.27,2991.27,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2994.9,3007.64,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3011.0,3024.5600000000004,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3043.59,3057.59,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3073.37,3092.58,GOAL_FORCED+PASSES,1.0,forced_goals+highlights_build+highlights_filtered
3097.04,3121.876627604167,GOAL+GOAL_RESETS+PASSES,1.0,events_core+goal_resets+highlights_build+highlights_filtered+highlights_shots
