frame,ball_x,ball_y
0,960.0,540.0
15,921.6,540.0
30,960.0,540.0
45,1113.6,540.0
60,1094.4,540.0
75,1017.6,540.0
90,979.2,540.0
105,960.0,540.0
120,940.8,540.0
135,672.0,540.0
150,672.0,540.0
165,614.4,540.0
180,614.4,540.0
195,672.0,540.0
210,537.6,540.0
225,537.6,540.0
240,710.4,540.0
255,595.2,540.0
270,672.0,540.0
285,672.0,540.0
300,864.0,540.0
315,864.0,540.0
330,960.0,540.0
345,1017.6,540.0
360,1113.6,540.0
375,1152.0,540.0
390,1152.0,540.0
405,1305.6,540.0
420,1363.2,540.0
435,1401.6,540.0
450,1382.4,540.0
465,1305.6,540.0
480,1248.0,540.0
495,1152.0,540.0
510,1113.6,540.0
525,960.0,540.0
540,672.0,540.0
555,384.0,540.0
570,192.0,540.0
585,96.0,540.0
600,96.0,540.0
615,96.0,540.0
