date_recorded,game_label,brand,master_path,duration_s,source_dir
2025-11-04,2025-11-04__TSC_-_Navy_Oct_2025,tsc,C:\Users\scott\soccer-video\out\masters\2025-11-04__TSC_-_Navy_Oct_2025\2025-11-04__TSC_-_Navy_Oct_2025__master.mp4,3990.22,C:\Users\scott\OneDrive\Desktop\Personal\Photos\Kids Games\Claire\TSC - Navy Oct 2025
2026-02-21,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,3072.109,out/games/2026-02-21__TSC_vs_Greenwood
