"Hash","KeepRel","RelativePath","FullPath","SizeBytes","Reason"
"A5CBDD353E16E8EF1BC82D3259FA1B62F112CC6C79944EA0F2B49A58F9844DA3","out\atomic_clips\_quarantine\003__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t15480.00-t16260.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_003__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t15480.00-t16260.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_003__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t15480.00-t16260.00__v3.mp4","866337","keep-atomic_clips"
"4C9707819C88A20792DC9E5A540AFE5B9B2D2F74ABCEA97FE46F1D34C2004B90","out\atomic_clips\_quarantine\004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00__v2.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00__v2.mp4","866337","keep-atomic_clips"
"4C9707819C88A20792DC9E5A540AFE5B9B2D2F74ABCEA97FE46F1D34C2004B90","out\atomic_clips\_quarantine\004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_004__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t17880.00-t18720.00__v3.mp4","866337","keep-atomic_clips"
"367CBEC89C3934769E74D4F003E80EC3485A52E26296E65C668F5A0A1A73EBDE","out\atomic_clips\_quarantine\012__GOAL__t1705.20-t1708.50.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_012__SHOT__t1705.20-t1708.50.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_012__SHOT__t1705.20-t1708.50.mp4","9744098","keep-atomic_clips"
"367CBEC89C3934769E74D4F003E80EC3485A52E26296E65C668F5A0A1A73EBDE","out\atomic_clips\_quarantine\012__GOAL__t1705.20-t1708.50.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_012__GOAL__t1705.20-t1708.50__BASE__landscape.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_012__GOAL__t1705.20-t1708.50__BASE__landscape.mp4","9744098","keep-atomic_clips"
"AB769E2AFCF0774F963B1FAF4CB9EA74625137E060D87B16E345CF46D8AE4B0A","out\atomic_clips\_quarantine\013__GOAL__t1767.50-t1772.60.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_013__SHOT__t1767.50-t1772.60.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_013__SHOT__t1767.50-t1772.60.mp4","7936081","keep-atomic_clips"
"AB769E2AFCF0774F963B1FAF4CB9EA74625137E060D87B16E345CF46D8AE4B0A","out\atomic_clips\_quarantine\013__GOAL__t1767.50-t1772.60.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_013__GOAL__t1767.50-t1772.60__BASE__landscape.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_013__GOAL__t1767.50-t1772.60__BASE__landscape.mp4","7936081","keep-atomic_clips"
"7B9B55C6868164999CB14881AB7AC3ADE1EBCCE1F32F553186FFF6F069188A07","out\atomic_clips\_quarantine\018__SHOT__t2419.50-t2425.60.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_018__SHOT__t2419.50-t2425.60__BASE__landscape.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_018__SHOT__t2419.50-t2425.60__BASE__landscape.mp4","7753953","keep-atomic_clips"
"D037033E97924BDE7A5BF5D7F5B853D4CCC821C80A922CC73ED4161455EC07AC","out\atomic_clips\_quarantine\019__SHOT__t2633.00-t2638.10.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_019__SHOT__t2633.00-t2638.10__BASE__landscape.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_019__SHOT__t2633.00-t2638.10__BASE__landscape.mp4","8784918","keep-atomic_clips"
"F9ACA87E52EB46227A7C0014F5F7FD7416409C311F25C4449B9239D46516FE0E","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_012__GOAL__t2589.90-t2594.63__BASE__landscape.mp4","out\clips\012__GOAL__t2589.90-t2594.63.mp4","C:\Users\scott\soccer-video\out\clips\012__GOAL__t2589.90-t2594.63.mp4","10289251","keep-other"
"D40EF64D18F8B61E3BA75A7C01A2E1B873FD18EF7F40B2E499D5BDB0B205F967","out\_TRASH_2025-10-07_121924\DUPES\out_reels_landscape_014__GOAL__t3114.90-t3120.03__BASE__landscape.mp4","out\clips\014__GOAL__t3114.90-t3120.03.mp4","C:\Users\scott\soccer-video\out\clips\014__GOAL__t3114.90-t3120.03.mp4","9288853","keep-other"
"7BC5AFA2ED6520004A4DEC424A20E0A96C9C0A0DDA490ABFE914DB22FDD7F271","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_previews_012__SHOT__t1705.20-t1708.50_preview.mp4","out\portrait_reels\previews\012__GOAL__t1705.20-t1708.50_preview.mp4","C:\Users\scott\soccer-video\out\portrait_reels\previews\012__GOAL__t1705.20-t1708.50_preview.mp4","73243236","keep-other"
