clip_path,portrait_path,render_done_at,render_preset,upscaled_path,upscale_done_at,branded_path,follow_brand_done_at,last_error,last_run_at
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:11:03+00:00,cinematic,,,,,source not found,2026-02-17T04:14:55+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:13:00+00:00,cinematic,,,,,source not found,2026-02-17T04:14:55+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:13:58+00:00,cinematic,,,,,source not found,2026-02-17T04:14:55+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:17:03+00:00,cinematic,,,,,source not found,2026-02-17T04:14:55+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:18:47+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:20:32+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:24:01+00:00,cinematic,,,,,source not found,2026-02-17T04:14:56+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:39:41+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:39:48+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:02+00:00
