master_path,master_rel,duration_s,width,height,fps,n_clips_linked
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL.mp4,17.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL.mp4,13.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL.mp4,24.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL.mp4,26.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL.mp4,16.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL.mp4,16.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL.mp4,13.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL.mp4,16.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-12__TSC_vs_SLSG/MASTER.mp4,out/games/2025-10-12__TSC_vs_SLSG/MASTER.mp4,3150.517,1920,1080,24/1,22
C:/Users/scott/soccer-video/out/games/2025-10-14__TSC_vs_BASC/MASTER.mp4,out/games/2025-10-14__TSC_vs_BASC/MASTER.mp4,2610.270,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-10-14__TSC_vs_BASC/raw/20251014_231654000_iOS.MP4,out/games/2025-10-14__TSC_vs_BASC/raw/20251014_231654000_iOS.MP4,1799.715,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-10-14__TSC_vs_BASC/raw/20251014_234654000_iOS.MP4,out/games/2025-10-14__TSC_vs_BASC/raw/20251014_234654000_iOS.MP4,810.590,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-11-05__TSC_vs_TSC_Navy/MASTER.mp4,out/games/2025-11-05__TSC_vs_TSC_Navy/MASTER.mp4,3990.095,1920,1080,24/1,114
C:/Users/scott/soccer-video/out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_011404000_iOS.MP4,out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_011404000_iOS.MP4,1801.677,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_014501000_iOS.MP4,out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_014501000_iOS.MP4,1799.967,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_021501000_iOS.MP4,out/games/2025-11-05__TSC_vs_TSC_Navy/raw/20251105_021501000_iOS.MP4,388.480,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-11-22__TSC_vs_OK_Sporting/MASTER.mp4,out/games/2025-11-22__TSC_vs_OK_Sporting/MASTER.mp4,3021.933,1280,720,30/1,0
"C:/Users/scott/soccer-video/out/games/2025-11-22__TSC_vs_OK_Sporting/raw/November 22, 2025.mp4","out/games/2025-11-22__TSC_vs_OK_Sporting/raw/November 22, 2025.mp4",3021.933,1280,720,30/1,0
C:/Users/scott/soccer-video/out/games/2025-11-23__TSC_vs_BASC/MASTER.mp4,out/games/2025-11-23__TSC_vs_BASC/MASTER.mp4,3083.000,1280,720,30/1,0
"C:/Users/scott/soccer-video/out/games/2025-11-23__TSC_vs_BASC/raw/November 23, 2025.mp4","out/games/2025-11-23__TSC_vs_BASC/raw/November 23, 2025.mp4",3083.000,1280,720,30/1,0
