clip_id,clip_name,clip_path,clip_rel,clip_stem,created_at_utc,duration_s,width,height,fps,sha1_64,tags,t_start_s,t_end_s,master_path,master_rel
d36d8f3341271728:002__2025-05-17__TSC_vs_Arkansas__GOAL__t202.60-t217.50,002__2025-05-17__TSC_vs_Arkansas__GOAL__t202.60-t217.50.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\002__2025-05-17__TSC_vs_Arkansas__GOAL__t202.60-t217.50.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/002__2025-05-17__TSC_vs_Arkansas__GOAL__t202.60-t217.50.mp4,002__2025-05-17__TSC_vs_Arkansas__GOAL__t202.60-t217.50,2026-02-11T03:37:28+00:00,15.233,1920,1080,30/1,d36d8f3341271728,goal,202.600,217.500,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
a23ca3b7ae6a922d:003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10,003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10.mp4,003__2025-05-17__TSC_vs_Arkansas__CROSS__t435.80-t443.10,2026-02-11T03:37:28+00:00,7.600,1920,1080,30/1,a23ca3b7ae6a922d,cross,435.800,443.100,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
0c2798678532e241:004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00,004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00.mp4,004__2025-05-17__TSC_vs_Arkansas__SHOT__t461.10-t474.00,2026-02-11T03:37:28+00:00,13.500,1920,1080,30/1,0c2798678532e241,shots,461.100,474.000,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
95a01da286098e86:005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10,005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10.mp4,005__2025-05-17__TSC_vs_Arkansas__SHOT__t474.00-t480.10,2026-02-11T03:37:29+00:00,6.932,1920,1080,30/1,95a01da286098e86,shot,474.000,480.100,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
5e6efe05874ea1c3:006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50,006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50.mp4,006__2025-05-17__TSC_vs_Arkansas__SHOT__t483.50-t505.50,2026-02-11T03:37:29+00:00,22.667,1920,1080,30/1,5e6efe05874ea1c3,shots,483.500,505.500,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
88c8ed1e396154fe:007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10,007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10.mp4,007__2025-05-17__TSC_vs_Arkansas__SHOT__t576.10-t583.10,2026-02-11T03:37:29+00:00,7.933,1920,1080,30/1,88c8ed1e396154fe,shot,576.100,583.100,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
723d2359847537af:008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70,008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70.mp4,008__2025-05-17__TSC_vs_Arkansas__GOAL__t583.20-t590.70,2026-02-11T03:37:29+00:00,7.698,1920,1080,30/1,723d2359847537af,goal,583.200,590.700,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
baf78dc8c685c9a8:009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20,009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-05-17__TSC_vs_Arkansas\009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-05-17__TSC_vs_Arkansas/009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20.mp4,009__2025-05-17__TSC_vs_Arkansas__SHOT__t590.80-t603.20,2026-02-11T03:37:29+00:00,13.198,1920,1080,30/1,baf78dc8c685c9a8,build & shot,590.800,603.200,C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4
c04d7ef3d049b829:002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00,002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-09-20__TSC_vs_Greenwood/002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4,002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00,2026-02-10T15:13:47+00:00,13.918,1920,1080,24/1,c04d7ef3d049b829,,340.000,353.000,C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4,out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4
b1f407c75c9b3534:003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00,003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-09-20__TSC_vs_Greenwood/003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4,003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00,2026-02-10T15:13:47+00:00,20.878,1920,1080,24/1,b1f407c75c9b3534,,421.000,441.000,C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4,out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4
