ClipID,MatchKey,AtomicPath,PortraitPaths,DurationSeconds,Width,Height
001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-20__TSC_vs_RVFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t23220.00-t24720.00,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t23220.00-t24720.00.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-10-04__TSC_vs_FC_Tulsa_Black,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.mp4,,,,
