frame,t,cx,x
0,0.0,1196.5267266912776,326.47454225861634
1,0.0416739196657818,1092.957974947416,324.3904835622443
2,0.0833478393315636,1014.4591026649132,324.3904835622443
3,0.1250217589973454,961.0301098437694,326.47454225861634
4,0.1666956786631272,932.6709964839847,330.6426596513604
5,0.208369598328909,929.3817625855588,336.89483574047654
6,0.2500435179946908,951.1624081484892,345.2310705259647
7,0.2917174376604726,1010.3959935328312,355.6513640078249
8,0.3333913573262544,1091.8223014778157,367.3200615142438
9,0.3750652769920362,1189.3634058812245,378.98875902066266
10,0.416739196657818,1294.802036098663,390.65745652708154
11,0.4584131163235997,1401.383475777148,402.3261540335004
12,0.5000870359893816,1464.3014180643531,413.9948515399193
13,0.5417609556551634,1491.4826993075237,425.6635490463382
14,0.5834348753209452,1473.2699789834144,437.33224655275706
15,0.625108794986727,1400.2478291971656,449.00094405917594
16,0.6667827146525088,1386.5747147139928,460.6696415655948
17,0.7084566343182905,1410.840244106475,472.3383390720137
18,0.7501305539840724,1359.2761990207018,484.0070365784326
19,0.7918044736498542,1312.4805925275855,495.67573408485146
20,0.833478393315636,1269.4860361806122,507.34443159127034
21,0.8751523129814178,1227.723093312933,519.0131290976892
22,0.9168262326471996,1194.0534121640042,530.6818266041081
23,0.9585001523129814,1161.4859687431674,542.350524110527
24,1.0001740719787633,1132.882595675805,554.0192216169459
25,1.041847991644545,1111.077571842217,565.6879191233647
26,1.0835219113103267,1098.6412891307878,577.3566166297836
27,1.1251958309761083,1097.9672612543673,589.0253141362025
28,1.1668697506418904,1122.7233229417034,600.6940116426214
29,1.2085436703076722,1147.3325502622342,612.3627091490403
30,1.250217589973454,1092.1026355236527,621.9473479590871
31,1.2918915096392358,1070.795201868441,633.616045465506
32,1.3335654293050176,1046.7362623948284,645.2847429719249
33,1.3752393489707997,1027.4670316255979,654.8693817819717
34,1.416913268636581,1005.1153846153816,662.3699618956465
35,1.458587188302363,973.8881118881088,667.7864833129493
36,1.5002611079681447,941.2062937062908,671.11894603388
37,1.5419350276339263,911.4195804195776,672.3673500584387
38,1.5836089472997084,887.7867132867107,671.5316953866253
39,1.6252828669654902,873.566433566431,668.6119820184399
40,1.666956786631272,871.8251748251721,663.6082099538825
41,1.7086307062970538,869.303461675041,656.520379192953
42,1.7503046259628356,861.8181818181791,647.3484897356515
43,1.7919785456286177,851.4309901524231,636.0925415819779
44,1.833652465294399,839.9235758748061,624.423844075559
45,1.875326384960181,829.4330593722659,612.7551465691402
46,1.9170003046259627,808.067371288377,601.0864490627213
47,1.9586742242917443,783.5467913434198,589.4177515563024
48,2.0003481439575266,757.399291565366,577.7490540498835
49,2.042022063623308,732.3766202059637,566.0803565434646
50,2.08369598328909,709.8367672366674,554.4116590370458
51,2.125369902954872,691.8652552891424,542.7429615306269
52,2.167043822620653,680.4744659637216,531.074264024208
53,2.2087177422864355,678.4677478283414,519.4055665177891
54,2.250391661952217,668.5989601828815,507.73686901137023
55,2.292065581617999,659.3094593394866,496.06817150495135
56,2.3337395012837807,650.1791253790135,484.39947399853247
57,2.3754134209495628,626.3308020104876,472.7307764921136
58,2.4170873406153444,617.3974477061006,461.0620789856947
59,2.458761260281126,620.9400301846572,449.39338147927583
60,2.500435179946908,650.7534162614709,439.808742669229
61,2.5421090996126896,671.9786347075756,432.3081625555542
62,2.583783019278472,669.244249463913,426.89164113825143
63,2.625456938944253,691.881167538514,423.5591784173207
64,2.6671308586100357,703.0792859484245,422.310774392762
65,2.708804778275817,702.9765765850339,418.9783116718313
66,2.750478697941599,691.3339365712391,413.56179025452855
67,2.7921526176073805,669.01809457632,406.06121014085375
68,2.833826537273162,635.1544253475997,396.4765713308069
69,2.875500456938944,590.5364004281832,384.807873824388
70,2.917174376604726,568.0003862714416,373.13917631796915
71,2.958848296270508,556.4184126420437,361.47047881155027
72,3.000522215936289,558.9722917463378,349.8017813051314
73,3.0421961356020715,528.5864838286698,338.1330837987125
74,3.083870055267853,527.7225260701197,328.54844498866566
75,3.125543974933635,558.1597793685789,321.04786487499086
76,3.1672178945994167,569.7233306244519,315.6313434576881
77,3.2088918142651983,579.0465356786749,312.2988807367574
78,3.2505657339309804,585.9149400404265,311.0504767121987
79,3.292239653596762,590.5183075591383,311.88613138401206
80,3.333913573262544,592.2657342657325,314.80584475219746
81,3.3755874929283256,591.8106830303468,315.6414994240108
82,3.417261412594108,589.1468565614055,314.39309539945214
83,3.4589353322598893,584.16819709831,311.0606326785214
84,3.5006092519256717,577.5996644346847,305.64411126121865
85,3.542283171591453,568.8911435854168,302.31164854028793
86,3.583957091257235,590.7477626133614,301.06324451572925
87,3.625631010923017,596.9690556025987,301.8988991875426
88,3.667304930588798,602.4035076861596,304.818612555728
89,3.70897885025458,606.8471564446277,309.82238462028545
90,3.750652769920362,610.1125693154484,316.9102153812149
91,3.792326689586144,612.086691689656,326.08210483851644
92,3.834000609251925,613.0337789041994,333.1699355994459
93,3.875674528917708,606.1999793419452,338.17370766400336
94,3.917348448583489,605.4615149864765,343.8110971040543
95,3.959022368249271,610.3498620520086,351.53254524047725
96,4.000696287915053,620.449630630598,361.33805207327225
97,4.042370207580834,633.799283541164,373.00674957969113
98,4.084044127246616,649.116769217109,384.67544708611
99,4.125718046912398,665.1200360918358,396.3441445925289
100,4.16739196657818,680.5270325987468,408.0128420989478
101,4.209065886243962,694.0557071712445,419.68153960536665
102,4.250739805909744,704.4240082427316,431.35023711178553
103,4.292413725575526,710.3498842466105,443.0189346182044
104,4.334087645241307,710.5512836162839,454.6876321246233
105,4.375761564907089,716.9582747377399,466.3563296310422
106,4.417435484572871,723.365265859196,478.02502713746105
107,4.459109404238652,729.7722569806521,489.69372464387993
108,4.500783323904434,736.1792481021082,499.4770940806337
109,4.542457243570216,742.5862392235642,507.17640482101547
110,4.584131163235998,748.9932303450203,512.7916568650252
111,4.625805082901779,755.4002214664764,518.6980674450018
112,4.667479002567561,761.8072125879324,525.1050585664578
113,4.709152922233344,768.2142037093886,531.5120496879141
114,4.7508268418991255,774.6211948308446,537.9190408093698
115,4.792500761564907,781.0281859523006,544.3260319308262
116,4.834174681230689,787.4351770737568,550.7330230522822
117,4.875848600896471,793.8421681952128,557.1400141737382
118,4.917522520562252,800.249159316669,563.5470052951945
119,4.959196440228034,806.656150438125,569.9539964166505
120,5.000870359893816,813.0631415595811,576.3609875381065
121,5.042544279559598,819.4701326810372,582.7679786595626
122,5.084218199225379,825.8771238024933,589.1749697810188
123,5.125892118891161,832.2841149239493,595.5819609024745
124,5.167566038556943,838.6911060454054,601.9889520239309
125,5.2092399582227245,845.0980971668615,608.3959431453869
126,5.2509138778885065,851.5050882883176,614.802934266843
127,5.2925877975542885,857.9120794097737,621.2099253882992
128,5.334261717220071,864.3190705312297,627.6169165097549
129,5.375935636885852,870.7260616526858,634.0239076312113
130,5.417609556551634,877.1330527741419,640.4308987526673
131,5.459283476217416,883.5400438955979,646.8378898741233
132,5.500957395883198,889.9470350170541,653.2448809955796
133,5.542631315548979,896.3540261385101,659.6518721170353
134,5.584305235214761,902.7610172599661,666.0588632384917
135,5.625979154880543,909.1680083814223,672.4658543599477
136,5.667653074546324,915.5749995028783,678.8728454814037
137,5.709326994212106,921.9819906243345,685.27983660286
138,5.751000913877888,928.3889817457905,689.6027690279442
139,5.79267483354367,928.1538179837712,691.8416427566564
140,5.834348753209452,928.7413829456648,691.9964577889965
141,5.876022672875234,929.9783495922993,690.0672141249646
142,5.917696592541016,931.6913908845033,686.0539117645607
143,5.959370512206798,933.7071797831047,679.9565507077847
144,6.001044431872579,935.8523892489318,674.4802166107867
145,6.042718351538361,937.953692242813,671.0879412101607
146,6.084392271204143,939.8377617255761,669.7797245059068
147,6.126066190869924,941.3312706580499,670.5555664980249
148,6.167740110535706,942.2608920010624,671.8917704009547
149,6.209414030201488,942.4532987154417,675.3120330002565
150,6.25108794986727,947.7052966564655,680.8163542959304
151,6.292761869533051,952.9572945974894,688.4047342879763
152,6.334435789198833,958.2092925385132,698.0771729763943
153,6.376109708864616,963.461290479537,709.7458704828132
154,6.417783628530397,968.7132884205607,721.4145679892321
155,6.459457548196179,973.9652863615846,730.9992067992789
156,6.501131467861961,979.2172843026084,738.4997869129537
157,6.542805387527743,984.4692822436322,743.9163083302565
158,6.584479307193524,989.7212801846559,747.2487710511872
159,6.626153226859306,994.9732781256798,751.6195212425877
160,6.667827146525088,1000.2252760667036,756.871519183611
161,6.70950106619087,1005.4772740077274,762.1235171246348
162,6.751174985856651,1010.7292719487511,767.375515065659
163,6.792848905522433,1015.981269889775,772.6275130066828
164,6.834522825188215,1021.2332678307988,777.8795109477065
165,6.8761967448539965,1026.4852657718227,783.1315088887305
166,6.9178706645197785,1031.7372637128465,788.3835068297539
167,6.9595445841855605,1036.9892616538702,793.6355047707776
168,7.001218503851343,1042.241259594894,798.8875027118014
169,7.042892423517124,1047.4932575359178,804.1395006528252
170,7.084566343182906,1052.7452554769416,809.3914985938496
