frame,t,cx,x
0,0.0,978.0000000000005,704.4000000000004
1,0.0416739196657818,978.0000000000005,704.4000000000004
2,0.0833478393315636,978.0000000000005,704.4000000000001
3,0.1250217589973454,978.0000000000003,704.4
4,0.1666956786631272,978.0000000000003,704.4
5,0.208369598328909,978.0000000000002,704.3999999999901
6,0.2500435179946908,977.9999999999968,702.3159413036082
7,0.2917174376604726,959.2405732443938,698.1478239108542
8,0.3333913573262544,940.4811464887907,691.8956478217282
9,0.3750652769920362,921.7217197331878,683.5594130362301
10,0.416739196657818,902.9622929775848,673.13911955436
11,0.4584131163235997,884.2028662219817,661.4704220479412
12,0.5000870359893816,865.4434394663788,649.8017245415223
13,0.5417609556551634,846.6840127107757,638.1330270351034
14,0.5834348753209452,827.9245859551727,626.4643295286845
15,0.625108794986727,809.1651591995696,614.7956320222656
16,0.6667827146525088,790.4057324439666,603.1269345158468
17,0.7084566343182905,771.6463056883637,591.4582370094279
18,0.7501305539840724,752.8868789327606,579.789539503009
19,0.7918044736498542,734.1274521771576,568.1208419965901
20,0.833478393315636,715.3680254215546,556.4521444901712
21,0.8751523129814178,696.6085986659516,544.7834469837524
22,0.9168262326471996,677.8491719103486,533.1147494773335
23,0.9585001523129814,659.0897451547455,521.4460519709146
24,1.0001740719787633,659.0980719719713,509.7773544644957
25,1.041847991644545,657.957166551708,498.10865695807684
26,1.0835219113103267,655.9027475210316,486.43995945165796
27,1.1251958309761083,652.3967519906831,474.7712619452391
28,1.1668697506418904,646.6049027876401,463.1025644388202
29,1.2085436703076722,606.4942358056963,451.4338669324013
30,1.250217589973454,596.2570587371595,439.76516942598244
31,1.2918915096392358,610.5122527009105,430.1805306159356
32,1.3335654293050176,643.9241533612851,422.6799505022608
33,1.3752393489707997,725.8948586203813,417.26342908495803
34,1.416913268636581,783.466326520157,413.9309663640273
35,1.458587188302363,815.8926355321898,412.68256233946863
36,1.5002611079681447,787.3311272467743,413.518217011282
37,1.5419350276339263,793.2378866555782,416.4379303794674
38,1.5836089472997084,780.9677341701243,417.27358505128075
39,1.6252828669654902,748.9490537843482,416.02518102672207
40,1.666956786631272,714.0055951738668,412.69271830579135
41,1.7086307062970538,638.5079262473347,407.2761968884886
42,1.7503046259628356,594.2524490889953,399.7756167748138
43,1.7919785456286177,556.907694996652,390.19097796476694
44,1.833652465294399,533.9428945688085,378.52228045834806
45,1.875326384960181,532.9181874948765,366.8535829519292
46,1.9170003046259627,486.20140577196094,355.1848854455103
47,1.9586742242917443,427.88415762094223,343.5161879390914
48,2.0003481439575266,358.0685424804677,331.84749043267254
49,2.042022063623308,355.3671452448908,320.17879292625366
50,2.08369598328909,340.3692439152634,308.5100954198348
51,2.125369902954872,341.2445468670916,296.8413979134159
52,2.167043822620653,342.11984981891976,285.172700406997
53,2.2087177422864355,342.99515277074795,273.50400290057814
54,2.250391661952217,343.87045572257614,261.83530539415926
55,2.292065581617999,344.7457586744043,250.16660788774035
56,2.3337395012837807,345.6210616262325,238.49791038132145
57,2.3754134209495628,346.4963645780607,226.82921287490254
58,2.4170873406153444,347.3716675298889,215.16051536848363
59,2.458761260281126,348.2469704817171,203.49181786206472
60,2.500435179946908,349.1222734335452,191.8231203556458
61,2.5421090996126896,349.9975763853734,180.1544228492269
62,2.583783019278472,350.8728793372016,168.485725342808
63,2.625456938944253,351.7481822890298,156.8170278363891
64,2.6671308586100357,352.623485240858,145.14833032997018
65,2.708804778275817,353.49878819268616,133.47963282355127
66,2.750478697941599,354.37409114451435,121.81093531713236
67,2.7921526176073805,355.24939409634254,110.14223781071345
68,2.833826537273162,356.12469704817073,98.47354030429454
69,2.875500456938944,356.9999999999989,86.80484279787564
70,2.917174376604726,356.9999999999989,77.22020398782877
71,2.958848296270508,356.9999999999989,69.71962387415395
72,3.000522215936289,356.9999999999989,64.30310245685118
73,3.0421961356020715,356.9999999999989,60.97063973592044
74,3.083870055267853,356.9999999999989,59.72223571136175
75,3.125543974933635,356.9999999999989,60.55789038317509
76,3.1672178945994167,356.9999999999989,63.47760375136048
77,3.2088918142651983,356.9999999999989,64.31325842317383
78,3.2505657339309804,347.8928571428561,63.06485439861514
79,3.292239653596762,338.78571428571325,59.732391677684404
80,3.333913573262544,329.6785714285704,54.31587026038163
81,3.3755874929283256,320.5714285714276,46.81529014670681
82,3.417261412594108,311.46428571428476,37.230651336659946
83,3.4589353322598893,302.3571428571419,25.56195383024104
84,3.5006092519256717,293.2499999999991,13.893256323822136
85,3.542283171591453,284.1428571428563,2.2245588174032314
86,3.583957091257235,275.0357142857134,0.0
