frame,t,cx,x
0,0.0,186.1770614791703,0.0
1,0.0416739196657818,168.71868712037477,0.0
2,0.0833478393315636,157.487304855179,0.0
3,0.1250217589973454,152.48291468358298,0.0
4,0.1666956786631272,153.70551660558672,0.0
5,0.208369598328909,161.15511062119023,0.0
6,0.2500435179946908,174.8316967303931,0.0
7,0.2917174376604726,167.1098316966232,2.084058696372042
8,0.3333913573262544,217.09648207017526,6.252176089116126
9,0.3750652769920362,263.4957358620375,12.504352178232253
10,0.416739196657818,306.17554287143423,20.84058696372042
11,0.4584131163235997,380.893834040714,31.260880445580632
12,0.5000870359893816,410.42381724110726,42.92957795199953
13,0.5417609556551634,467.2309478546341,54.59827545841844
14,0.5834348753209452,510.4596282318739,66.26697296483735
15,0.625108794986727,558.850919710171,77.93567047125626
16,0.6667827146525088,588.4625143838076,89.60436797767517
17,0.7084566343182905,599.5986080569802,101.27306548409408
18,0.7501305539840724,640.3501098205974,112.94176299051298
19,0.7918044736498542,643.5501418747249,124.61046049693189
20,0.833478393315636,686.1672346208458,136.2791580033508
21,0.8751523129814178,693.1326238458786,147.9478555097697
22,0.9168262326471996,693.9742815777951,159.61655301618862
23,0.9585001523129814,721.9801879029152,171.28525052260753
24,1.0001740719787633,725.8455520309747,182.95394802902644
25,1.041847991644545,730.3929016540078,194.62264553544534
26,1.0835219113103267,739.2252218606566,206.29134304186425
27,1.1251958309761083,745.6463947429501,217.96004054828316
28,1.1668697506418904,733.0655760865088,229.62873805470207
29,1.2085436703076722,711.3912660825481,241.29743556112098
30,1.250217589973454,685.2305724670815,250.88207437116785
31,1.2918915096392358,650.4576211142353,258.38265448484265
32,1.3335654293050176,614.6947896463869,263.7991759021454
33,1.3752393489707997,586.8301899516481,267.1316386230761
34,1.416913268636581,572.1190667852638,268.3800426476348
35,1.458587188302363,566.8201614059751,267.54438797582145
36,1.5002611079681447,557.8180891983975,268.79279200038013
37,1.5419350276339263,564.7320898096027,272.12525472131085
38,1.5836089472997084,567.1992208840946,277.5417761386136
39,1.6252828669654902,564.4328690108701,280.87423885954433
40,1.666956786631272,556.3773872002005,282.122642884103
