frame,t,cx,x
0,0.0,490.8240859482317,232.848265254885
1,0.0416739196657818,493.5370892535202,234.93232395125705
2,0.0833478393315636,496.24408193735,238.21633851289306
3,0.1250217589973454,498.94506399972124,240.8827054211912
4,0.1666956786631272,501.6400354406339,243.54306170803045
5,0.208369598328909,504.3289962600878,246.19740737340567
6,0.2500435179946908,507.01194645808135,246.76769434240884
7,0.2917174376604726,508.40978982565133,246.6211016503246
8,0.3333913573262544,511.1138102924891,248.55856765461238
9,0.3750652769920362,514.6764554110425,252.5800923552722
10,0.416739196657818,520.5650944209583,258.68567575230406
11,0.4584131163235997,526.2216139573302,266.87531784570797
12,0.5000870359893816,531.7206055967941,277.1490186354839
13,0.5417609556551634,537.0762529706606,288.8177161419028
14,0.5834348753209452,541.9230274120393,298.40235495194963
15,0.625108794986727,546.6868025773039,305.90293506562443
16,0.6667827146525088,549.2181029419783,311.3194564829272
17,0.7084566343182905,552.4443760585101,314.6519192038579
18,0.7501305539840724,554.6845011677758,315.9003232284166
19,0.7918044736498542,477.84897341427956,315.06466855660324
20,0.833478393315636,558.0559705187374,316.3130725811619
21,0.8751523129814178,626.3311319417868,319.64553530209264
22,0.9168262326471996,682.4856511896286,325.0620567193954
23,0.9585001523129814,725.3272137408467,332.5626368330702
24,1.0001740719787633,751.8261509608533,342.14727564311704
25,1.041847991644545,764.612594497785,353.8159731495359
26,1.0835219113103267,763.3167886800676,365.4846706559548
27,1.1251958309761083,747.9557145125359,375.06930946600164
28,1.1668697506418904,718.2741272399453,382.56988957967644
29,1.2085436703076722,675.6206788816631,387.9864109969792
30,1.250217589973454,617.4319308621048,391.3188737179099
31,1.2918915096392358,544.6606359948628,392.5672777424686
32,1.3335654293050176,627.2424529815868,395.8997404633993
33,1.3752393489707997,633.0193417422402,397.148144487958
34,1.416913268636581,638.456340656412,396.31248981614465
35,1.458587188302363,643.5674310430761,393.39277644795925
36,1.5002611079681447,642.5111241907487,388.3890043834018
37,1.5419350276339263,644.0839148034562,383.1996272174341
38,1.5836089472997084,646.9270706710262,380.09430874783845
39,1.6252828669654902,651.1776528525165,379.07304897461484
40,1.666956786631272,656.7517452640113,380.13584789776326
41,1.7086307062970538,663.5514458076084,383.2827055172837
42,1.7503046259628356,671.6282015713757,388.5136218331762
43,1.7919785456286177,680.8671294525766,395.82859684544076
44,1.833652465294399,690.3733149175023,405.22763055407734
45,1.875326384960181,699.589741313372,416.71072295908596
46,1.9170003046259627,707.7988161740582,428.37942046550484
47,1.9586742242917443,714.23130873033,440.0481179719237
48,2.0003481439575266,718.0780268315647,451.7168154783426
49,2.042022063623308,724.0990784118203,463.3855129847615
50,2.08369598328909,730.0361212883773,475.05421049118036
51,2.125369902954872,736.0675347601594,486.72290799759924
52,2.167043822620653,741.9444827633281,498.3916055040181
53,2.2087177422864355,747.7910958670213,507.97624431406496
54,2.250391661952217,753.5788143131259,515.4768244277398
55,2.292065581617999,759.2534469924583,520.8933458450425
56,2.3337395012837807,764.8849205603942,524.2258085659732
57,2.3754134209495628,770.3446736369076,527.625520420622
58,2.4170873406153444,775.6093032943595,532.1312157263953
59,2.458761260281126,780.8054916275107,536.7419552704749
60,2.500435179946908,785.8668050699276,540.9718771586411
61,2.5421090996126896,790.77426552939,545.1244824022971
62,2.583783019278472,795.5734308416169,549.2973977345271
63,2.625456938944253,800.2634055397702,553.0134864246357
64,2.6671308586100357,804.7243571248064,556.3216427491728
65,2.708804778275817,809.0139860139836,559.8209307672148
66,2.750478697941599,813.2004659159174,563.2741137908935
67,2.7921526176073805,817.2354335117983,566.7133837534617
68,2.833826537273162,821.2150379527674,569.39922124282
69,2.875500456938944,824.800702715251,571.3202790228539
