"clip_folder","proxy_exists","transforms_exists","stabilized_exists","branded_exists","proxy_path","transforms_path","stabilized_path","branded_path"
"006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50_portrait_POST.mp4"
"006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_POST.mp4"
"007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_POST.mp4"
"008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_POST.mp4"
"009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_POST.mp4"
"010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_POST.mp4"
"011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_POST.mp4"
"012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_POST.mp4"
"013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_POST.mp4"
"014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_POST.mp4"
"015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_POST.mp4"
"015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_POST.mp4"
"022__SHOT__t3028.10-t3059.70__x2_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70__x2_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70__x2_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70__x2_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\022__SHOT__t3028.10-t3059.70_portrait_FINAL.mp4"
"022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL","True","True","True","True","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\022__SHOT__t3028.10-t3059.70_portrait_FINAL.mp4"
