"index","date","status","atomic","master"
"114","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\114__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\114__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"52","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\052__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\052__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"102","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\102__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\102__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"8","2025-10-04","HAVE",,
"28","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\028__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\028__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"35","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\035__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\035__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"54","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\054__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\054__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"65","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\065__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\065__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"100","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\100__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\100__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"5","2025-09-13","HAVE",,
"48","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\048__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\048__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"136","2025-10-07","HAVE",,
"218","2025-09-20","HAVE",,
"39","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\039__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\039__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"202","2025-09-20","HAVE",,
"118","2025-10-04","HAVE",,
"159","2025-10-04","HAVE",,
"149","2025-09-20","HAVE",,
"81","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\081__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\081__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"58","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\058__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\058__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"57","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\057__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\057__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"56","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\056__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\056__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"98","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\098__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\098__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"137","2025-09-20","HAVE",,
"109","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\109__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\109__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"93","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\093__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\093__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"97","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\097__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\097__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"23","2025-09-20","HAVE",,
"133","2025-09-20","HAVE",,
"88","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\088__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\088__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"196","2025-09-20","HAVE",,
"34","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\034__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\034__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"80","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\080__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\080__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"6","2025-09-13","HAVE",,
"178","2025-09-20","HAVE",,
"123","2025-09-20","HAVE",,
"15","2025-10-04","HAVE",,
"78","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\078__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\078__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"108","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\108__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\108__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"130","2025-09-20","HAVE",,
"51","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\051__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\051__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"76","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\076__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\076__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"12","2025-10-04","HAVE",,
"25","2025-09-20","HAVE",,
