frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
219,286.5,687.8,interp,0.50,455.9,584.5,127.2,0.0,657.5,1168.9,1,134.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.900|bounds
220,279.2,689.1,interp,0.50,448.8,584.5,120.1,0.0,657.5,1168.9,1,134.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.899|bounds
221,272.1,690.4,interp,0.50,441.8,584.5,113.0,0.0,657.5,1168.9,1,134.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.897|bounds
222,265.0,691.6,interp,0.50,434.9,584.5,106.1,0.0,657.5,1168.9,1,134.1,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.896|bounds
223,258.0,692.9,interp,0.50,428.0,584.5,99.2,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.894|bounds
224,251.2,694.1,interp,0.50,421.2,584.5,92.4,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.892|bounds
225,244.5,695.3,interp,0.50,414.5,584.5,85.7,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.890|bounds
226,237.9,696.5,interp,0.50,407.9,584.5,79.1,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.889|bounds
227,231.4,697.6,interp,0.50,401.4,584.5,72.6,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.887|bounds
228,225.0,698.8,interp,0.50,395.0,584.5,66.2,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.885|bounds
229,218.7,699.9,interp,0.50,388.7,584.5,59.9,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.883|bounds
