"index","date","status","atomic","master"
"169","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\169__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195-t1209.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\169__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1195.00-t1209.00_portrait_FINAL\follow\stabilized.mp4"
"197","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\197__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800-t1810.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\197__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800.00-t1810.00_portrait_FINAL\follow\stabilized.mp4"
"132","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\132__2025-10-07__HOME_vs_AWAY__DRIBBLING__t982-t987.90.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\132__1970-01-01__HOME_vs_AWAY__DRIBBLING__t982.00-t987.90_portrait_FINAL\follow\stabilized.mp4"
"215","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\215__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2297-t2312.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\215__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2297.00-t2312.00_portrait_FINAL\follow\stabilized.mp4"
"195","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\195__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t1512-t1520.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\195__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t1512.00-t1520.00_portrait_FINAL\follow\stabilized.mp4"
"101","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\101__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\101__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"179","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\179__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1158-t1182.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\179__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t1158.00-t1182.00_portrait_FINAL\follow\stabilized.mp4"
"170","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\170__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t999-t1022.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\170__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t999.00-t1022.00_portrait_FINAL\follow\stabilized.mp4"
"139","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\139__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025-t1040.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\139__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\stabilized.mp4"
"113","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\113__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\113__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"219","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\219__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t2388-t2397.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\219__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t2388.00-t2397.00_portrait_FINAL\follow\stabilized.mp4"
"187","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\187__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1300-t1310.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\187__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1300.00-t1310.00_portrait_FINAL\follow\stabilized.mp4"
"134","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\134__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529-t547.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\134__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00_portrait_FINAL\follow\stabilized.mp4"
"71","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\071__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\071__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"155","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\155__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239-t1253.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\155__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\follow\stabilized.mp4"
